Reference	ID	Tags	Quote	Occurrence	Question	Response	Question
01:12	l010	basic,observe	τὰ κατ’ ἐμὲ, μᾶλλον εἰς προκοπὴν τοῦ εὐαγγελίου ἐλήλυθεν	1	Selon Paul, pourquoi Dieu a-t-il permis qu'il soit arrêté et jugé ?		What did Paul believe was the reason God allowed him to be arrested and tried?
01:13	l011	basic,observe	ὥστε τοὺς δεσμούς μου φανεροὺς ἐν Χριστῷ γενέσθαι, ἐν ὅλῳ τῷ πραιτωρίῳ καὶ τοῖς λοιποῖς πᾶσιν	1	Quelles personnes ont appris que Paul était enchaîné parce qu'il est **en Christ** ?		**As a result** of Paul's trials, who learned that he was **in chains for Christ**?
01:13	jr7f	basic,interpret	ὅλῳ τῷ πραιτωρίῳ	1	En quoi le fait que **tous les soldats** connaissaient la situation de Paul aurait-il pu contribuer à l'avancement de l'Évangile ?		How might **the whole palace guard** knowing about Paul's situation have resulted in the advancement of the gospel?
01:14	l012	basic,interpret	καὶ τοὺς πλείονας τῶν ἀδελφῶν ἐν Κυρίῳ πεποιθότας τοῖς δεσμοῖς μου, περισσοτέρως τολμᾶν ἀφόβως τὸν λόγον λαλεῖν	1	Selon vous, pourquoi la connaissance des **chaînes** de Paul a-t-elle incité la **plupart des frères** à être **plus confiants** dans l'annonce de **la parole** ?		Why do you think the knowledge of Paul's **chains** caused **most of the brothers** to dare more fearlessly to speak the word**?
01:15	vyl8	basic,observe	τινὲς μὲν καὶ διὰ φθόνον καὶ ἔριν, τινὲς δὲ καὶ δι’ εὐδοκίαν τὸν Χριστὸν κηρύσσουσιν	1	Pourquoi différents frères ont-ils proclamé le Christ à la suite des chaînes de Paul ?		What were the reasons that different brothers proclaimed Christ as a result of Paul's chains?
01:16	abc1	basic,observe	οἱ μὲν ἐξ ἀγάπης εἰδότες ὅτι εἰς ἀπολογίαν τοῦ εὐαγγελίου κεῖμαι	1	Quelles sont les bonnes raisons qui ont poussé certains frères à proclamer le Christ ?		What good motives caused some of the brothers to proclaim Christ?
01:17	wed9	basic,observe	οἱ δὲ ἐξ ἐριθείας τὸν Χριστὸν καταγγέλλουσιν, οὐχ ἁγνῶς οἰόμενοι θλῖψιν ἐγείρειν τοῖς δεσμοῖς μου	1	Quelles sont les mauvaises raisons qui ont poussé d'autres frères à proclamer le Christ ?		What bad motives caused some of the brothers to proclaim Christ?
01:18	vq5g	basic,observe	τί γάρ? πλὴν ὅτι παντὶ τρόπῳ, εἴτε προφάσει εἴτε ἀληθείᾳ, Χριστὸς καταγγέλλεται; καὶ ἐν τούτῳ χαίρω, ἀλλὰ καὶ χαρήσομαι	1	Comment Paul a-t-il réagi face aux frères qui proclamaient le Christ pour de bonnes et de mauvaises motivations ?		How did Paul respond to brothers proclaiming Christ from both good and bad motives?
01:18	pa9c	basic,apply	πλὴν ὅτι παντὶ τρόπῳ, εἴτε προφάσει εἴτε ἀληθείᾳ, Χριστὸς καταγγέλλεται; καὶ ἐν τούτῳ χαίρω	1	Êtes-vous, comme Paul, capable de vous réjouir lorsque vous voyez des frères prêcher le Christ pour de mauvaises motivations, ou pour vous causer des ennuis ?		Are you, like Paul, able to **rejoice** when you see brothers preach Christ for bad motives, or to cause you trouble?
01:19	l013	basic,observe	οἶδα γὰρ ὅτι τοῦτό μοι ἀποβήσεται εἰς σωτηρίαν διὰ τῆς ὑμῶν δεήσεως, καὶ ἐπιχορηγίας τοῦ Πνεύματος Ἰησοῦ Χριστοῦ	1	Comment Paul sera-t-il libéré de ses soucis actuels ?		What will cause Paul to be delivered from his current troubles?
01:20	ph9z	basic,observe	κατὰ τὴν ἀποκαραδοκίαν καὶ ἐλπίδα μου, ὅτι ἐν οὐδενὶ αἰσχυνθήσομαι	1	Qu'est-ce que Paul attend avec une **assurance ferme** et **espoir** ?		What did Paul **eagerly expect and hope**?
01:20	bjl6	basic,interpret	ἀλλ’ ἐν πάσῃ παρρησίᾳ	1	Pourquoi était-il si important que Paul soit **sûr à 100%** dans sa situation actuelle ?		Why was it so important that Paul **have complete boldness** in his present situation?
01:20	ntl8	basic,observe	ὡς πάντοτε καὶ νῦν, μεγαλυνθήσεται Χριστὸς ἐν τῷ σώματί μου, εἴτε διὰ ζωῆς εἴτε διὰ θανάτου	1	Quelle était la chose la plus importante que Paul désirait accomplir ?		What was the most important thing Paul wanted to accomplish?
01:20	uwu7	basic,interpret	εἴτε διὰ ζωῆς εἴτε διὰ θανάτου	1	Pensez-vous qu'il était facile pour Paul de dire qu'il était prêt à servir le Christ par sa **vie** ou par sa **mort** ? Pourquoi ou pourquoi pas ?		Do you think it was easy for Paul to say he was willing to serve Christ **by life or by death**? Why or why not?
01:20	b8b7	basic,observe	ὡς πάντοτε καὶ νῦν, μεγαλυνθήσεται Χριστὸς ἐν τῷ σώματί μου, εἴτε διὰ ζωῆς εἴτε διὰ θανάτου	1	Si, comme Paul à l'époque, vous étiez jugé à cause de votre foi, pensez-vous que vous auriez la même attitude que Paul ?		If you, like Paul at that time, were on trial for your faith, do you think you would have the same attitude as Paul had?
01:21	c8ss	basic,interpret	ἐμοὶ γὰρ τὸ ζῆν Χριστὸς, καὶ τὸ ἀποθανεῖν κέρδος	1	Selon vous, comment Paul a-t-il pu arriver à de telles convictions, à savoir que la vie ou la mort sont acceptables pour être avec le Christ ?		How do you think Paul was able to arrive at the conviction that either life or death is acceptable in order to be with Christ?
01:22	r3aa	basic,interpret	εἰ δὲ τὸ ζῆν ἐν σαρκί, τοῦτό μοι καρπὸς ἔργου	1	S'il continuait à vivre, quel **fruit** Paul pourrait-il **porter** ?		What is the **fruitful labor** that Paul would be able to do if he continued to live?
1:22-23	d1zm	basic,interpret	καὶ τί αἱρήσομαι, οὐ γνωρίζω & συνέχομαι δὲ ἐκ τῶν δύο	1	Paul fait valoir son point de vue en disant que la vie ou la mort sont acceptables pour lui. Cependant, pensez-vous que Paul croyait qu'il pouvait décider s'il allait vivre ou mourir ?		Paul is making a point by saying life or death are acceptable for him. However, do you think Paul really believed that he would be the one to decide if he lived or died?
01:23	l014	basic,interpret	τὴν ἐπιθυμίαν ἔχων εἰς τὸ ἀναλῦσαι καὶ σὺν Χριστῷ εἶναι, πολλῷ γὰρ μᾶλλον κρεῖσσον	1	Pourquoi Paul pensait-il qu'il serait **bien mieux** pour lui de mourir que de vivre ?		Why did Paul believe it would be **far better indeed** for himself to die than to live?
01:24	sfb1	basic,interpret	τὸ δὲ ἐπιμένειν ἐν τῇ σαρκὶ, ἀναγκαιότερον δι’ ὑμᾶς	1	Pourquoi Paul pensait-il qu'il était **plus nécessaire** pour les croyants de Philippes qu'il vive plutôt qu'il ne meure ?		Why did Paul believe it would be **more necessary** for the Philippian believers if he were to live rather than die?
1:23-24	ki8l	basic,interpret	πολλῷ & μᾶλλον κρεῖσσον & ἀναγκαιότερον	1	Selon vous, pourquoi Paul a-t-il **la meilleure chose** à ce qui était **plus nécessaire** ?		Why do you think Paul contrasted what was **far better indeed** against what was **more necessary**?
1:24-25	es4l	basic,observe	τὸ & ἐπιμένειν ἐν τῇ σαρκὶ, ἀναγκαιότερον δι’ ὑμᾶς & καὶ τοῦτο πεποιθὼς, οἶδα ὅτι μενῶ καὶ παραμενῶ πᾶσιν ὑμῖν	1	Qu'est-ce qui pousse Paul à croire qu'il continuera à vivre ?		What fact causes Paul to believe that he will continue to live?
01:25	l015	basic,observe	μενῶ καὶ παραμενῶ πᾶσιν ὑμῖν εἰς τὴν ὑμῶν προκοπὴν καὶ χαρὰν τῆς πίστεως	1	À quoi Paul s'attendait-il concernant les Philippiens s'il restait en vie ?		What did Paul expect to happen to the Philippians as a result of his remaining alive?
01:26	l016	basic,interpret	ἵνα τὸ καύχημα ὑμῶν περισσεύῃ ἐν Χριστῷ Ἰησοῦ ἐν ἐμοὶ, διὰ τῆς ἐμῆς παρουσίας πάλιν πρὸς ὑμᾶς	1	Pourquoi le fait que Paul soit libéré et revienne à Philippes aurait-il conduit les Philippiens à **rendre encore plus gloire au Christ Jésus** ? Comment auraient-ils participé à sa libération ?		Why would Paul being released and coming to Philippi again cause the **exultation in Christ Jesus** of the Philippians to **resound**? How would they have participated in his release?
01:27	l017	basic,observe	μόνον ἀξίως τοῦ εὐαγγελίου τοῦ Χριστοῦ πολιτεύεσθε & στήκετε ἐν ἑνὶ πνεύματι, μιᾷ ψυχῇ συναθλοῦντες τῇ πίστει τοῦ εὐαγγελίου	1	Comment Paul s'attendait-il à ce que les croyants de Philippes réagissent à son emprisonnement et à sa libération attendue ?		How did Paul expect that Philippian believers to react to his imprisonment and his expected release?
01:27	n654	basic,observe	ἵνα εἴτε ἐλθὼν καὶ ἰδὼν ὑμᾶς, εἴτε ἀπὼν, ἀκούω τὰ περὶ ὑμῶν	1	Dans quelle mesure Paul était-il sûr de revenir auprès des Philippiens lorsqu'il sera finalement libéré ?		How sure was Paul that he would be able to come to the Philippians when he was eventually released?
01:28	q1p8	basic,interpret	καὶ μὴ πτυρόμενοι ἐν μηδενὶ ὑπὸ τῶν ἀντικειμένων	1	De quelle manière pensez-vous que certaines personnes se sont opposées aux Philippiens et les ont **effrayés** ?		In what way do you think some people opposed the Philippians and caused them to be **frightened**?
01:28	td57	basic,observe	ἥτις ἐστὶν αὐτοῖς ἔνδειξις ἀπωλείας, ὑμῶν δὲ σωτηρίας	1	En quoi l'assurance des Philippiens au milieu de l'opposition serait-elle un **signe de ruine** pour leurs ennemis, mais aussi **de salut** pour les croyants de Philippes ?		Why would the confidence of the Philippians in the midst of opposition be **a clear sign** of the **destruction** of their enemies and of the **salvation** of the Philippian believers?
1:28-29	sz79	basic,interpret	καὶ τοῦτο ἀπὸ Θεοῦ; & ὅτι ὑμῖν ἐχαρίσθη τὸ ὑπὲρ Χριστοῦ, οὐ μόνον τὸ εἰς αὐτὸν πιστεύειν, ἀλλὰ καὶ τὸ ὑπὲρ αὐτοῦ πάσχειν	1	Selon vous, pourquoi le plan de Dieu est-il de donner aux Philippiens **la capacité non seulement de croire en lui, mais aussi de souffrir pour lui** ?		Why do you think it is God‘s plan to give the Philippians the ability both **to believe in Him** and **to suffer for Him**?
01:30	abc2	basic,interpret	τὸν αὐτὸν ἀγῶνα ἔχοντες, οἷον εἴδετε ἐν ἐμοὶ, καὶ νῦν ἀκούετε ἐν ἐμοί	1	Comment la relation entre les Philippiens et Paul les a-t-elle préparés à persévérer dans la souffrance au nom de Dieu ?		How had the Philippians relationship with Paul prepared them to be able to persevere through suffering for God?
01:30	hgb9	basic,apply	τὸν αὐτὸν ἀγῶνα ἔχοντες, οἷον εἴδετε ἐν ἐμοὶ, καὶ νῦν ἀκούετε ἐν ἐμοί	1	Quelles sont les luttes que vous menez dans votre propre vie et pour lesquelles le témoignage de l'apôtre Paul peut vous encourager ?		What struggles do you have in your own life in which you can be encouraged by the testimony of the Apostle Paul?
2:1	l019	basic,interpret	εἴ τις & εἴ τι & εἴ τις & εἴ τις	1	Quelle est la seule réponse possible à chaque question posée par Paul  ?		When Paul says **if any**, do you think he is implying that these things do or do not exist?
2:1	ie95	basic,interpret	παράκλησις ἐν Χριστῷ & παραμύθιον ἀγάπης & κοινωνία Πνεύματος & σπλάγχνα καὶ οἰκτιρμοί	1	Selon vous, pourquoi serait-il important pour les Philippiens de considérer ce qui les **encourage**, les **réconforte**, ce qui les fait participer **ensemble**, ainsi que l'**affection** et la **miséricorde** qu'ils reçoivent dans la communion fraternelle ?		As Paul moves on from discussing the opposition to the gospel that he and the Philippians are experiencing, why would it be important for them to think about the **encouragement**, **comfort**, **fellowship**, **affection**, and **compassion** that they receive from God?
2:2	l020	basic,interpret	τὴν αὐτὴν ἀγάπην ἔχοντες, σύνψυχοι	1	Dans quelle mesure le fait d'avoir **le même amour**, et d'avoir **le même cœur** amènerait-il les Philippiens à être **d'un seul avis** ?		How would **having the same love** and **being united in spirit** cause the Philippians to be **like-minded**?
2:3	c52s	basic,interpret	μηδὲν κατ’ ἐριθείαν μηδὲ κατὰ κενοδοξίαν, ἀλλὰ τῇ ταπεινοφροσύνῃ ἀλλήλους ἡγούμενοι ὑπερέχοντας ἑαυτῶν	1	Dans quelle mesure les deux moitiés de ce verset décrivent-elles des façons opposées de considérer les autres ?		In what way do the two halves of this verse describe opposite ways of thinking about others?
2:3	l022	basic,apply	μηδὲν κατ’ ἐριθείαν μηδὲ κατὰ κενοδοξίαν	1	À votre avis, est-il courant que les gens fassent des choses **par ambition, ou pour gagner une gloire sans valeur** ?		In your opinion, how common is it for people to do things **out of selfish ambition or empty pride**?
2:3	p472	basic,interpret	τῇ ταπεινοφροσύνῃ ἀλλήλους ἡγούμενοι ὑπερέχοντας ἑαυτῶν	1	Pourquoi l'**humilité** est-elle nécessaire pour agir **comme si les autres étaient plus importants que** soi-même ?		Why is **humility** necessary in order to consider **others more important than yourselves**?
2:4	w32h	basic,interpret	μὴ τὰ ἑαυτῶν ἕκαστος σκοποῦντες, ἀλλὰ καὶ τὰ ἑτέρων ἕκαστοι	1	De quels **intérêts** Paul veut-il que les croyants tiennent compte ?		Whose **interests** does Paul want the believers to consider?
2:4	qe48	basic,apply	μὴ τὰ ἑαυτῶν ἕκαστος σκοποῦντες, ἀλλὰ καὶ τὰ ἑτέρων ἕκαστοι	1	D'après votre expérience, comment votre relation avec une personne ou un groupe est-elle différente lorsque vous pensez tous les uns aux autres au lieu de penser uniquement à vous-mêmes ?		In your experience, how is your relationship to a person or group different when you all think about each other instead of just yourselves?
2:5	l024	basic,interpret	τοῦτο φρονεῖτε ἐν ὑμῖν, ὃ καὶ ἐν Χριστῷ Ἰησοῦ	1	Selon vous, ce commandement désigne-t-il le verset 4, les versets 6 à 8, ou les deux ?		Do you think this command refers back to verse 4, or ahead to verses 6-8, or to both?
2:6	l025	basic,interpret	ὃς ἐν μορφῇ Θεοῦ ὑπάρχων & ἴσα Θεῷ	1	Que nous apprennent les expressions **Dieu par son apparence** et **son égalité avec Dieu** sur l'identité de Jésus ?		What does **existing in the form of God** and **equality with God** tell us about who Jesus was?
2:6	j49j	basic,interpret	οὐχ ἁρπαγμὸν ἡγήσατο τὸ εἶναι ἴσα Θεῷ	1	Que nous apprend le fait que Jésus n'ait **pas considéré son égalité avec Dieu comme un droit à conserver** quant à son humilité ?		What does the fact that Jesus chose not to hold on to **equality with God** tell us about his attitude of humility?
2:7	ujs1	basic,interpret	ἑαυτὸν ἐκένωσεν, μορφὴν δούλου λαβών, ἐν ὁμοιώματι ἀνθρώπων γενόμενος & καὶ σχήματι εὑρεθεὶς ὡς ἄνθρωπος	1	Étant égal à Dieu, à quoi Jésus a-t-il renoncé lorsqu'il **a abandonné lui-même son statut** pour devenir un homme ?		Being equal to God, what did Jesus give up to become like a man when He **emptied Himself**?
2:7	asn2	basic,interpret	μορφὴν δούλου λαβών	1	Pourquoi Paul dit-il que Jésus a pris **l'apparence d'un serviteur**, et comment cela s'accorde-t-il avec le commandement de Paul aux Philippiens de considérer les intérêts d'autrui ?		Why does Paul say Jesus took **the form of a servant**, and how does that fit with Paul’s command to the Philippians to consider the needs of others?
2:8	l026	basic,interpret	ἐταπείνωσεν ἑαυτὸν, γενόμενος ὑπήκοος μέχρι θανάτου, θανάτου δὲ σταυροῦ	1	À qui Jésus est-il devenu obéissant lorsqu'il **s'est rabaissé lui-même** ?		To whom did Jesus **become obedient** when **He humbled Himself**?
2:8	l027	basic,interpret	μέχρι θανάτου, θανάτου δὲ σταυροῦ	1	Pourquoi la **mort sur la croix** était-elle considérée comme une mort si cruelle ?		Why was **death on a cross** considered to be such a severe way to die?
2:9	l028	basic,observe	διὸ καὶ ὁ Θεὸς αὐτὸν ὑπερύψωσεν, καὶ ἐχαρίσατο αὐτῷ τὸ ὄνομα τὸ ὑπὲρ πᾶν ὄνομα	1	Comment Dieu a-t-il réagi à cette humiliation que Jésus s'est imposée ?		How did God react to Jesus humbling Himself?
2:9	p3jn	basic,interpret	ἐχαρίσατο αὐτῷ τὸ ὄνομα τὸ ὑπὲρ πᾶν ὄνομα	1	Ici, le **nom** est une figure de style qui désigne la personne. Que veut dire le fait que le **nom** de Jésus soit **supérieur à tous les autres noms** ?		Here **name** is a figure of speech that refers to the person. What does it mean for **the name** of Jesus to be **above all names**?
02:10	yp6z	basic,interpret	ἵνα ἐν τῷ ὀνόματι Ἰησοῦ, πᾶν γόνυ κάμψῃ	1	Qu'est-ce que cela signifie lorsque Paul dit qu'au **nom de Jésus**, **tous ceux qui sont dans le ciel, sur la terre et sous la terre se mettent à genoux** ?		What does it mean when Paul says **every knee should bow** **at the name of Jesus**?
02:10	pd7h	basic,interpret	πᾶν γόνυ & ἐπουρανίων καὶ ἐπιγείων καὶ καταχθονίων	1	Que veut dire Paul lorsqu'il désigne **tous ceux qui sont dans le ciel, sur la terre et sous la terre** ?		Who is included in **every knee** **in heaven and on earth and under the earth**?
02:11	x9qk	basic,observe	καὶ πᾶσα γλῶσσα ἐξομολογήσηται ὅτι Κύριος Ἰησοῦς Χριστὸς	1	De quelle manière chaque personne ayant vécu réagira-t-elle ultimement au nom de Jésus ?		How will every person who ever lived eventually respond to the name of Jesus?
02:11	l030	basic,observe	εἰς δόξαν Θεοῦ Πατρὸς	1	Quel est le but ultime pour lequel Jésus s'est humilié et s'est sacrifié ?		What is the ultimate purpose for which Jesus humbled Himself and died?
02:12	g5t1	basic,observe	ἀγαπητοί μου	1	Comment Paul s'adresse-t-il aux croyants de Philippes ?		How does Paul address the believers in Philippi?
02:12	q6y3	basic,observe	καθὼς πάντοτε ὑπηκούσατε, μὴ ὡς ἐν τῇ παρουσίᾳ μου μόνον, ἀλλὰ νῦν πολλῷ μᾶλλον ἐν τῇ ἀπουσίᾳ μου	1	Comment les Philippiens ont-ils répondu aux instructions de Paul par le passé ?		How had the Philiipians responded to Paul’s instructions in the past?
02:12	l031	basic,interpret	μετὰ φόβου καὶ τρόμου τὴν ἑαυτῶν σωτηρίαν κατεργάζεσθε	1	Puisque les croyants de Philippes sont des "saints", pourquoi devraient-ils **travailler** pour leur **salut** avec **du respect et de la crainte pour Dieu** ?		Since the believers in Philippi are “saints”, why should they **work out** their **salvation with fear and trembling**?
2:12-13	hgu3	basic,interpret	τὴν ἑαυτῶν σωτηρίαν κατεργάζεσθε & Θεὸς γάρ ἐστιν ὁ ἐνεργῶν ἐν ὑμῖν	1	Pourquoi Paul dirait-il aux Philippiens de **travailler** à leur **salut** tout en leur disant que **c'est Dieu qui construit chez** eux ? Comment ces deux choses peuvent-elles coexister ?		Why would Paul tell the Philippians to **work out** their **salvation** and also tell them that **it is God who works in** them? How can both things be true?
02:13	e14e	basic,observe	Θεὸς γάρ ἐστιν ὁ ἐνεργῶν ἐν ὑμῖν, καὶ τὸ θέλειν, καὶ τὸ ἐνεργεῖν, ὑπὲρ τῆς εὐδοκίας	1	De quelle manière Dieu amène-t-il les croyants à travailler à leur salut ?		In what way does God cause believers to work out their salvation?
2:14-15	h6vt	basic,observe	πάντα ποιεῖτε χωρὶς γογγυσμῶν καὶ διαλογισμῶν & ἵνα γένησθε ἄμεμπτοι καὶ ἀκέραιοι, τέκνα Θεοῦ ἄμωμα	1	Ici **Comme cela** introduit le but pour lequel les Philippiens devraient tout faire sans se **plaindre ni** se **disputer**. Quel est ce but ?		Here **so that** introduces the purpose for which the Philippians should do **everything without complaining or arguing**. What is that purpose?
02:15	duy9	basic,interpret	τέκνα Θεοῦ ἄμωμα μέσον γενεᾶς σκολιᾶς καὶ διεστραμμένης, ἐν οἷς φαίνεσθε ὡς φωστῆρες ἐν κόσμῳ	1	Qu'est-ce que cela veut dire pour les **enfants de Dieu** de briller **comme des torches dans le monde**, en contraste avec **une génération corrompue et pervertie** ?		What does it mean for the **children of God** to **shine as lights in the world** in contrast to **a crooked and perverted generation**?
02:16	l032	basic,interpret	λόγον ζωῆς ἐπέχοντες	1	Quelle est la **parole de vie** que les enfants de Dieu doivent porter dans le monde ?		What is the **word of life** that the children of God are to display for the world?
02:16	l033	basic,interpret	λόγον ζωῆς ἐπέχοντες εἰς καύχημα ἐμοὶ εἰς ἡμέραν Χριστοῦ, ὅτι οὐκ εἰς κενὸν ἔδραμον, οὐδὲ εἰς κενὸν ἐκοπίασα	1	Comment le témoignage fidèle des Philippiens démontrerait-il que Paul n'a pas **couru** ni **travaillé dur** **pour rien** ?		How would the faithful witness of the Philippians demonstrate that Paul **did not run or labor in vain**?
