Reference	ID	Tags	Quote	Occurrence	Question	Response
1:8	brej	advanced,interpret	αὐτὸς & βαπτίσει ὑμᾶς ἐν Πνεύματι Ἁγίῳ	1	Que voulait dire Jean lorsqu'il a déclaré que **l'Esprit Saint** sera utilisé pour baptiser quelqu'un, de la même manière que si l'on utilisait de l'eau ?	
1:9	ww9a	basic,observe	ἦλθεν Ἰησοῦς ἀπὸ Ναζαρὲτ τῆς Γαλιλαίας	1	Où vivait **Jésus** avant de venir voir Jean ?	
1:9	jr9e	basic,observe	ἐβαπτίσθη εἰς τὸν Ἰορδάνην ὑπὸ Ἰωάννου	1	Pourquoi Jésus a-t-il parcouru cette longue distance entre Nazareth et le Jourdain ?	
1:10-12	mosg	basic,interpret	εὐθὺς	-1	"Marc décrit les événements comme si ceux-ci s'étaient produits **tout de suite après** ou ""dès qu’il est sorti de l’eau"" en utilisant ces expressions 40 fois dans ce livre. À ton avis, quel est l'objectif de Marc en utilisant ce terme aussi fréquemment ?"	
1:10	mv5n	basic,interpret	εἶδεν σχιζομένους τοὺς οὐρανοὺς	1	À votre avis, que s'est-il passé lorsque Jean a vu **les cieux qui s'ouvrent** ?	
1:10	krzj	advanced,interpret	τὸ Πνεῦμα ὡς περιστερὰν καταβαῖνον ἐπ’ αὐτόν	1	Qu'est-ce que le Saint-Esprit a pu communiquer lorsqu'il est **descend sur lui sous la forme d’une colombe** ?	
1:11	cf3g	basic,interpret	φωνὴ ἐγένετο ἐκ τῶν οὐρανῶν	1	Qui est la **voix venant des cieux** qui parle à Jésus ?	
1:11	eem9	advanced,interpret	σὺ εἶ ὁ Υἱός μου ὁ ἀγαπητός	1	Que signifie le fait que cette voix appelle Jésus **mon fils bien-aimé** ?	
1:11	rd3v	basic,observe	ἐν σοὶ εὐδόκησα	1	Que faisait Jésus avant que la voix ne lui dise qu’il fait sa **joie ** ?	
1:12	sxc7	basic,observe	εὐθὺς τὸ Πνεῦμα αὐτὸν ἐκβάλλει εἰς τὴν ἔρημον	1	Pourquoi Jésus est-il allé **dans le désert** **tout de suite après** avoir été baptisé dans le Jourdain ?	
1:13	xurz	basic,interpret	ἦν ἐν τῇ ἐρήμῳ τεσσεράκοντα ἡμέρας	1	Est-il si facile pour quelqu'un d'être **dans le désert** pendant **quarante jours** ?	
1:12-13	sks2	basic,interpret	τὸ Πνεῦμα αὐτὸν ἐκβάλλει & πειραζόμενος ὑπὸ τοῦ Σατανᾶ	1	Pourquoi le Saint-Esprit enverrait-il Jésus dans le désert, sachant que **Satan** allait l'y tenter ?	
1:13	qq9z	advanced,apply	τεσσεράκοντα ἡμέρας, πειραζόμενος ὑπὸ τοῦ Σατανᾶ	1	Pensez aux fois où vous avez été tenté par le péché. Selon vous, est-ce que ces moments sont comparables à ce que Jésus a subie, en étant **tenté par Satan** pendant **quarante jours** ?	
1:13	z85a	basic,interpret	ἦν μετὰ τῶν θηρίων	1	Le fait d'être **parmi les bêtes sauvages** a-t-il facilité ou compliqué la vie de Jésus pendant ses quarante jours dans le désert ?	
1:13	zfwq	basic,observe	οἱ ἄγγελοι διηκόνουν αὐτῷ	1	Qui a aidé Jésus pendant ses quarante jours dans le désert ?	
1:14	rkdh	basic,observe	τὸ παραδοθῆναι τὸν Ἰωάννην	1	D'après le verset 9, qui était ce **Jean** qui a été arrêté ?	
1:14	v8bl	basic,interpret	ἦλθεν ὁ Ἰησοῦς εἰς τὴν Γαλιλαίαν	1	Pensez-vous que l'arrestation de Jean en Judée a eu un impact sur la décision de Jésus d'aller **en Galilée** ?	
1:14	ys4e	basic,observe	κηρύσσων τὸ εὐαγγέλιον τοῦ Θεοῦ	1	Qu’est-ce que Jésus **annonçait** ?	
1:15	d8pa	advanced,interpret	ὅτι πεπλήρωται ὁ καιρὸς	1	"En quoi ce qui vient de se produire a amené Jésus à dire que le **temps est venu**"" ?"	
1:15	j61d	basic,interpret	ἤγγικεν ἡ Βασιλεία τοῦ Θεοῦ	1	"Qu'est-ce que Jésus a voulu dire lorsqu'il a déclaré : ""**le Royaume de Dieu s'est approché**"" ?"	
1:15	yrau	advanced,observe	μετανοεῖτε καὶ πιστεύετε ἐν τῷ εὐαγγελίῳ	1	Dans quelle mesure le message de Jésus était-il identique à celui de Jean au verset 4, et qu'est-ce que Jésus y a ajouté ?	
1:16	totr	basic,observe	ἀμφιβάλλοντας ἐν τῇ θαλάσσῃ	1	Pourquoi Simon et André jetaient-ils un filet dans la mer ?	
1:17	tdsj	basic,interpret	δεῦτε ὀπίσω μου	1	"Qu'est-ce que Jésus demandait à Simon lorsqu'il leur a dit : ""**Venez, suivez-moi**"" ?"	
1:17	bphf	basic,interpret	ποιήσω ὑμᾶς γενέσθαι ἁλιεῖς ἀνθρώπων	1	Que signifie devenir **pêcheurs d'hommes** ?	
1:17	efqs	advanced,interpret	ποιήσω ὑμᾶς γενέσθαι ἁλιεῖς ἀνθρώπων	1	Puisque Simon et André étaient des pêcheurs, comment pensez-vous qu'ils ont été affectés lorsque Jésus a dit qu'il ferait d'eux des **pêcheurs d'hommes** ?	
1:18	k7qf	basic,interpret	εὐθέως	1	Marc utilise de nouveau le terme **tout de suite**. Pourquoi est-il important de savoir qu'ils ont immédiatement obéi à Jésus ?	
1:18	c7pa	basic,interpret	ἀφέντες τὰ δίκτυα	1	Que signifie le fait pour les pêcheurs de quitter leurs filets de pêche ?	
1:18	twht	basic,interpret	ἠκολούθησαν αὐτῷ	1	Lorsque Simon et André ont décidé de suivre Jésus, que savaient-ils de lui, et de ce que cela impliquerait ?	
1:18	bw11	basic,apply	καὶ εὐθέως ἀφέντες τὰ δίκτυα, ἠκολούθησαν αὐτῷ	1	Que seriez-vous prêt à abandonner pour suivre Jésus ?	
1:19	dx6p	basic,observe	εἶδεν Ἰάκωβον τὸν τοῦ Ζεβεδαίου, καὶ Ἰωάννην τὸν ἀδελφὸν αὐτοῦ, καὶ αὐτοὺς ἐν τῷ πλοίῳ καταρτίζοντας τὰ δίκτυα	1	Que faisaient **Jacques** et **Jean** lorsque Jésus est venu à eux ?	
1:20	ydnc	basic,interpret	ἐκάλεσεν αὐτούς	1	Selon vous, pourquoi Marc ne nous rapporte-t-il pas ce que Jésus a dit à Jacques et Jean, comme il l'a fait pour Simon et André ?	
1:20	ih0v	basic,observe	τὸν πατέρα αὐτῶν Ζεβεδαῖον ἐν τῷ πλοίῳ μετὰ τῶν μισθωτῶν	1	Qui d'autre était présent dans la barque avec Jacques et Jean lorsque Jésus les a appelés ?	
1:20	o66d	advanced,interpret	ἀφέντες τὸν πατέρα αὐτῶν Ζεβεδαῖον	1	Jacques et Jean **ont laissé Zébédée, leur père**. Comment est-ce comparable à la situation de Simon et André, qui ont laissé leurs filets ?	
1:22	f9p2	basic,observe	ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ; ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων, καὶ οὐχ ὡς οἱ γραμματεῖς	1	Pourquoi les gens ont-ils été **frappés** par l'enseignement de Jésus ?	
1:23	vtuq	basic,interpret	ἦν ἐν τῇ συναγωγῇ αὐτῶν ἄνθρωπος ἐν πνεύματι ἀκαθάρτῳ, καὶ ἀνέκραξεν	1	De quelle manière un **esprit impur** peut-il affecter une personne ?	
1:24	mdc8	basic,observe	ἦλθες ἀπολέσαι ἡμᾶς	1	Qu'est-ce que l'esprit impur pensait que Jésus allait lui faire ? Selon vous, pourquoi ?	
1:24	oi0x	basic,observe	οἶδά σε τίς εἶ, ὁ Ἅγιος τοῦ Θεοῦ	1	Que savait l'esprit impur de l'identité de Jésus et que les personnes présentes dans la synagogue ignoraient ?	
1:25	b5wy	basic,interpret	ἐπετίμησεν αὐτῷ ὁ Ἰησοῦς	1	Selon vous, pourquoi Jésus a-t-il **menacé** l'esprit impur, même si ce qu'il disait était vrai ?	
1:25	ki6h	basic,observe	φιμώθητι καὶ ἔξελθε ἐξ αὐτοῦ	1	Quel est l'ordre que Jésus a donné à l'esprit impur ?	
1:26	gjdu	basic,observe	σπαράξαν αὐτὸν, τὸ πνεῦμα τὸ ἀκάθαρτον, καὶ φωνῆσαν φωνῇ μεγάλῃ, ἐξῆλθεν ἐξ αὐτοῦ	1	D'après la réponse de l'esprit impur, quelle était son attitude à l'égard de Jésus, qui lui avait ordonné de quitter cet homme ?	
1:27	b23b	basic,observe	διδαχὴ καινή κατ’ ἐξουσίαν! καὶ τοῖς πνεύμασι τοῖς ἀκαθάρτοις ἐπιτάσσει, καὶ ὑπακούουσιν αὐτῷ	1	Quelles sont les deux choses qui ont étonné les personnes présentes dans l'enseignement de Jésus ?	
1:28	pnnm	basic,observe	ἐξῆλθεν ἡ ἀκοὴ αὐτοῦ εὐθὺς, πανταχοῦ εἰς ὅλην τὴν περίχωρον τῆς Γαλιλαίας	1	Qu'est-ce que les gens ont fait immédiatement après avoir entendu Jésus et l'avoir vu chasser l'esprit impur ?	
1:28	ux1x	basic,apply	ἐξῆλθεν ἡ ἀκοὴ αὐτοῦ εὐθὺς, πανταχοῦ	1	Pourquoi ceux qui ont vu Jésus ont-ils été si pressés de raconter cette histoire à d'autres personnes ?	
1:29	ddtm	basic,interpret	Σίμωνος καὶ Ἀνδρέου, μετὰ Ἰακώβου καὶ Ἰωάννου	1	Pourquoi **Simon** et **André**, ainsi que **Jacques et Jean** étaient-ils ensemble avec Jésus ?	
1:30	e6py	basic,observe	ἡ & πενθερὰ Σίμωνος κατέκειτο πυρέσσουσα	1	Qui était malade dans la maison de Simon ?	
1:30	yi1f	basic,interpret	εὐθὺς λέγουσιν αὐτῷ περὶ αὐτῆς	1	Pourquoi Simon et André ont-ils pensé que Jésus pouvait guérir la belle-mère de Simon ?	
1:31	rwzn	basic,interpret	ἤγειρεν αὐτὴν, κρατήσας τῆς χειρός. & καὶ ἀφῆκεν αὐτὴν ὁ πυρετός	1	Pourquoi la fièvre a-t-elle disparu lorsque Jésus a pris la main de la belle-mère de Simon ?	
1:31	u1cq	basic,observe	διηκόνει αὐτοῖς	1	Comment a réagi la belle-mère de Simon après que Jésus l'a guérie ?	
1:32	b92o	basic,observe	ἔφερον πρὸς αὐτὸν πάντας τοὺς κακῶς ἔχοντας καὶ τοὺς δαιμονιζομένους	1	Quelles étaient les deux catégories de personnes que l'on amenait à Jésus ?	
1:32	zvrj	advanced,interpret	ὀψίας δὲ γενομένης, ὅτε ἔδυ ὁ ἥλιος	1	Lorsque le soleil s'est couché, le sabbat a pris fin. Pourquoi cela avait-il une incidence sur le moment où les gens amenaient tous ces malades auprès de Jésus ?	
1:33	gnu7	basic,interpret	ἦν ὅλη ἡ πόλις ἐπισυνηγμένη πρὸς τὴν θύραν	1	Selon vous, l'expression **toute la ville** était-elle exacte, ou était-elle une déclaration générale visant à transmettre un message ?	
1:34	s4bm	basic,observe	ἐθεράπευσεν πολλοὺς κακῶς ἔχοντας ποικίλαις νόσοις, καὶ δαιμόνια πολλὰ ἐξέβαλεν	1	Jésus y a-t-il guéri tous les malades, et chassé tous les démons ?	
1:34	j2sz	basic,observe	οὐκ ἤφιεν λαλεῖν τὰ δαιμόνια	1	Qu'est-ce que Jésus a interdit aux démons de faire ?	
1:34	lio6	basic,interpret	οὐκ ἤφιεν λαλεῖν τὰ δαιμόνια, ὅτι ᾔδεισαν αὐτόν	1	Ici, **parce qu'** introduit la raison pour laquelle Jésus n'a pas permis aux démons de parler. Pourquoi Jésus ne voulait-il pas que les démons révèlent sa véritable identité aux gens à ce moment-là ?	
1:33,35	q728	basic,observe	πρωῒ ἔννυχα λείαν, ἀναστὰς ἐξῆλθεν καὶ ἀπῆλθεν εἰς ἔρημον τόπον	1	Si l'on se réfère au verset 33, pourquoi était-il nécessaire pour Jésus de s'éclipser si tôt le matin ?	
1:35,37	h9zv	basic,observe	ἐξῆλθεν καὶ ἀπῆλθεν εἰς ἔρημον τόπον	1	D'après le verset 37, Jésus a-t-il quitté la maison de Simon parce qu'il avait fini de guérir tout le monde ?	
1:35	oa6m	basic,appy	ἀπῆλθεν εἰς ἔρημον τόπον, κἀκεῖ προσηύχετο	1	Pourquoi est-il utile d'être dans **un lieu désert** pour prier ?	
1:35	mm2f	basic,apply	ἀπῆλθεν εἰς ἔρημον τόπον, κἀκεῖ προσηύχετο	1	Jésus avait besoin de laisser temporairement son ministère bien rempli afin de pouvoir prier. Qu'est-ce que cela nous apprend sur l'importance de la prière dans notre propre vie ?	
1:36-37	nvkv	basic,observe	κατεδίωξεν αὐτὸν & πάντες ζητοῦσίν σε	1	Pourquoi Simon et les autres ont-ils **cherché** Jésus ?	
1:38	f5x9	basic,interpret	ἄγωμεν ἀλλαχοῦ	1	Puisque les gens voulaient que Jésus revienne dans la maison de Simon, êtes-vous surpris que Jésus ait décidé de s'en aller ailleurs ?	
1:38	sz5b	basic,observe	ἵνα καὶ ἐκεῖ κηρύξω; εἰς τοῦτο γὰρ ἐξῆλθον	1	Ici, **pour que** indique la raison pour laquelle Jésus est venu. Quelle était cette raison ?	
1:38	bhs5	basic,apply	ἵνα καὶ ἐκεῖ κηρύξω; εἰς τοῦτο γὰρ ἐξῆλθον	1	Avez-vous une idée claire du but de Dieu pour votre vie ?	
1:38	merb	basic,interpret	ἵνα καὶ ἐκεῖ κηρύξω; εἰς τοῦτο γὰρ ἐξῆλθον	1	D'après la réponse de Jésus, était-il venu avant tout pour guérir ou pour prêcher ?	
1:39	htqe	basic,interpret	κηρύσσων, εἰς τὰς συναγωγὰς αὐτῶν & καὶ τὰ δαιμόνια ἐκβάλλων	1	Jésus est allé à la fois pour **annoncer** et chasser **les démons**. À la lumière du verset 38, cet ordre est-il important ?	
1:40	dwtm	basic,observe	ἔρχεται πρὸς αὐτὸν λεπρὸς, παρακαλῶν αὐτὸν καὶ γονυπετῶν	1	En quoi la manière dont le **lépreux** s'est approché de Jésus nous renseigne-t-elle sur sa perception de l'identité de Jésus ?	
1:40	u8on	basic,observe	ἐὰν θέλῃς, δύνασαί με καθαρίσαι	1	Selon le lépreux, quelle était la seule chose qui pouvait empêcher Jésus de le guérir ?	
1:40	g9un	basic,apply	ὅτι ἐὰν θέλῃς	1	Croyez-vous que Jésus veut l'aider, ou pensez-vous que quelque chose l'empêcherait de le faire ?	
1:41	al16	basic,observe	σπλαγχνισθεὶς	1	Pourquoi Jésus a-t-il répondu positivement au lépreux ?	
1:41	of98	basic,interpret	ἐκτείνας τὴν χεῖρα αὐτοῦ, ἥψατο	1	La loi de Moïse interdisait à tout Juif de toucher un lépreux. Selon vous, pourquoi Jésus a-t-il touché cet homme ?	
1:40-41	wfsc	basic,interpret	λέγει αὐτῷ, θέλω, καθαρίσθητι	1	En quoi la réponse de Jésus au verset 41 répond-elle directement à la question du lépreux au verset 40 ?	
1:42	h38h	basic,observe	εὐθὺς ἀπῆλθεν ἀπ’ αὐτοῦ ἡ λέπρα, καὶ ἐκαθερίσθη	1	Une fois de plus, Marc précise que ce qui a suivi s'est produit **Tout de suite**. Que s'est-il passé après la déclaration de Jésus ?	
1:43-44	qr31	basic,observe	ἐμβριμησάμενος αὐτῷ & ὅρα μηδενὶ, μηδὲν εἴπῃς	1	Quelle est l'interdiction que Jésus a donnée à l'homme de faire ?	
1:44	ii3m	basic,observe	ὕπαγε, σεαυτὸν δεῖξον τῷ ἱερεῖ, καὶ προσένεγκε περὶ τοῦ καθαρισμοῦ σου ἃ προσέταξεν Μωϋσῆς, εἰς μαρτύριον αὐτοῖς	1	Le mot **comme** introduit la raison pour laquelle Jésus voulait que l'homme se montre au **prêtre**. Quel était ce but ?	
1:45	jl9i	basic,interpret	ὁ δὲ ἐξελθὼν ἤρξατο κηρύσσειν πολλὰ καὶ διαφημίζειν τὸν λόγον	1	Selon vous, pourquoi l'homme a-t-il désobéi à Jésus et raconté à tout le monde ce que Jésus avait fait pour lui ?	
1:45	igg9	basic,interpret	ὥστε μηκέτι αὐτὸν δύνασθαι φανερῶς εἰς πόλιν εἰσελθεῖν, ἀλλ’ ἔξω ἐπ’ ἐρήμοις τόποις ἦν	1	Ici, **à un tel point que** introduit la conséquence du témoignage de l'homme. Dans quelle mesure ce résultat justifie-t-il l'interdiction que Jésus a adressée à cet homme ?	
1:45	bgvh	basic,interpret	ἤρχοντο πρὸς αὐτὸν πάντοθεν	1	Pourquoi la nouvelle de la guérison de cet homme a-t-elle incité les gens à accourir vers Jésus de partout ?	
2:1	oih2	basic,observe	εἰσελθὼν πάλιν εἰς Καφαρναοὺμ	1	Que s'était-il passé la dernière fois que Jésus était à **Capharnaüm** ?	
2:1	a9y7	basic,observe	δι’ ἡμερῶν	1	Où était Jésus ces **quelques jours**, et que faisait-il ?	
2:2	e7eu	basic,observe	συνήχθησαν πολλοὶ, ὥστε μηκέτι χωρεῖν, μηδὲ τὰ πρὸς τὴν θύραν	1	Quelle a été la réaction des habitants de Capharnaüm à l'égard de Jésus ?	
2:2	c69s	basic,observe	ἐλάλει αὐτοῖς τὸν λόγον	1	Qu'a fait Jésus lorsque les habitants de Capharnaüm ont rempli la maison dans laquelle il se trouvait ?	
2:3	r15v	basic,observe	ἔρχονται φέροντες πρὸς αὐτὸν παραλυτικὸν, αἰρόμενον ὑπὸ τεσσάρων	1	Qui a amené cet **homme paralysé** auprès de Jésus ?	
2:4	wzy3	basic,observe	μὴ δυνάμενοι προσενέγκαι αὐτῷ διὰ τὸν ὄχλον	1	Pourquoi les hommes n'ont-ils pas pu amener l'homme paralysé dans la maison, auprès de Jésus ?	
2:4	kjen	basic,interpret	ἀπεστέγασαν τὴν στέγην ὅπου ἦν, καὶ ἐξορύξαντες, χαλῶσι τὸν κράβαττον ὅπου ὁ παραλυτικὸς κατέκειτο	1	Pensez-vous qu'il était acceptable de creuser un trou dans le toit de la maison de quelqu'un d'autre ? Si ce n'est pas le cas, pourquoi l'ont-ils fait ?	
2:4	fz23	basic,interpret	χαλῶσι τὸν κράβαττον ὅπου ὁ παραλυτικὸς κατέκειτο	1	D'après vous, qu'est-ce que les hommes attendaient de Jésus pour **l'homme paralysé** ?	
2:5	td8t	basic,observe	ἰδὼν & τὴν πίστιν αὐτῶν	1	Qui avait la **foi** ?	
2:5	gzyp	basic,apply	ἰδὼν & τὴν πίστιν αὐτῶν	1	Connaissez-vous quelqu'un qui a besoin de Jésus ? Si oui, cherchez-vous avec foi des moyens de l'amener à Jésus ?	
2:5	rztp	basic,interpret	τέκνον	1	Selon vous, pourquoi Jésus parle-t-il ainsi à l'homme paralysé ?	
2:5	g3qm	advanced,interpret	ἀφέωνται σου αἱ ἁμαρτίαι	1	Selon vous, pourquoi Jésus a-t-il pardonné les péchés de cet homme paralysé, au lieu de le guérir immédiatement, comme il s'y attendait probablement ?	
2:6-7	k4ql		ἦσαν & τινες τῶν γραμματέων & διαλογιζόμενοι ἐν ταῖς καρδίαις αὐτῶν & τί οὗτος οὕτως λαλεῖ? βλασφημεῖ	1	Les **scribes** ont-ils fait quoi que ce soit pour manifester ce qu'ils pensaient de Jésus ?	
2:7	r6ef	basic,interpret	τί οὗτος οὕτως λαλεῖ? βλασφημεῖ! τίς δύναται ἀφιέναι ἁμαρτίας, εἰ μὴ εἷς ὁ Θεός?	1	Pourquoi les scribes pensent-ils que Jésus **insulte Dieu** ?	
2:7	jd85	advanced,interpret	βλασφημεῖ! τίς δύναται ἀφιέναι ἁμαρτίας, εἰ μὴ εἷς ὁ Θεός	1	Les scribes avaient raison de dire que personne **à part Dieu** ne peut **pardonner les péchés**. Dans ce cas, pourquoi Jésus n'était-il pas coupable de blasphème ?	
2:8	fo6q	basic,observe	ἐπιγνοὺς ὁ Ἰησοῦς τῷ πνεύματι αὐτοῦ, ὅτι οὕτως διαλογίζονται ἐν ἑαυτοῖς	1	Comment Jésus a-t-il su ce que les scribes **pensaient ces choses en eux-mêmes** ?	
2:8	szu6	basic,observe	τί ταῦτα διαλογίζεσθε ἐν ταῖς καρδίαις ὑμῶν?	1	Jésus savait ce que les scribes pensaient. Le leur a-t-il dit ?	
2:9	abdl	basic,interpret	τί ἐστιν εὐκοπώτερον, εἰπεῖν τῷ παραλυτικῷ, ἀφίενταί σου αἱ ἁμαρτίαι, ἢ εἰπεῖν, ἔγειρε καὶ ἆρον τὸν κράβαττόν σου καὶ περιπάτει?	1	Dans quel sens est-il **plus facile** de **dire à un homme paralysé** que ses **péchés sont pardonnés** que de lui dire de porter son lit et de marcher ?	
2:10	uvc1	basic,observe	ἵνα & εἰδῆτε ὅτι ἐξουσίαν ἔχει ὁ Υἱὸς τοῦ Ἀνθρώπου ἐπὶ τῆς γῆς ἀφιέναι ἁμαρτίας	1	Le mot **pour** introduit la raison pour laquelle Jésus a demandé à l'homme paralysé de se lever et de marcher. Quelle était cette raison ?	
2:10-11	dr8v	advanced,interpret	ἵνα & εἰδῆτε ὅτι ἐξουσίαν ἔχει ὁ Υἱὸς τοῦ Ἀνθρώπου ἐπὶ τῆς γῆς ἀφιέναι ἁμαρτίας	1	En quoi l'ordre que Jésus donne à l'homme paralysé prouve-t-il que Jésus est capable de pardonner les péchés ?	
2:12	dxr6	basic,observe	εὐθὺς & ἐξῆλθεν	1	En combien de temps l'homme paralysé a-t-il été guéri, et a-t-il pu marcher ?	
2:12	pgta	basic,interpret	ἐξῆλθεν ἔμπροσθεν πάντων	1	Selon vous, pourquoi Marc affirme-t-il que l'homme a été guéri **devant tout le monde** ?	
2:12	iasg	basic,observe	δοξάζειν τὸν Θεὸν λέγοντας, ὅτι οὕτως οὐδέποτε εἴδομεν	1	Comment ont réagi les personnes présentes dans la maison suite aux paroles de Jésus et à la guérison de l'homme paralysé ?	
2:13	c6v7	basic,interpret	πᾶς ὁ ὄχλος ἤρχετο πρὸς αὐτόν	1	Qu'est-ce qui a poussé **Tout le monde** à venir auprès de Jésus ?	
2:13	dant	basic,observe	ἐδίδασκεν αὐτούς	1	Que fait Jésus pour la foule lorsqu'elle vient le trouver ?	
2:14	xm6i	basic,observe	εἶδεν Λευεὶν τὸν τοῦ Ἁλφαίου, καθήμενον ἐπὶ τὸ τελώνιον	1	Que faisait **Levi** lorsque Jésus l'a vu et lui a dit de le suivre ? Pourquoi se trouvait-il là ?	
2:15	d2c0	basic,interpret	γίνεται κατακεῖσθαι αὐτὸν ἐν τῇ οἰκίᾳ αὐτοῦ, καὶ πολλοὶ τελῶναι καὶ ἁμαρτωλοὶ συνανέκειντο τῷ Ἰησοῦ καὶ τοῖς μαθηταῖς αὐτοῦ	1	Pourquoi **beaucoup de collecteurs d'impôts** ont-ils mangé dans la maison de Lévi ?	
2:15	t4p7	basic,observe	πολλοὶ τελῶναι καὶ ἁμαρτωλοὶ	1	Comment Marc décrit-il les personnes qui suivaient Jésus et mangeaient avec lui ?	
2:16	sw8q	basic,observe	οἱ γραμματεῖς τῶν Φαρισαίων	1	Quelles sont les personnes qui ont constaté et se sont inquiétées que Jésus mangeait avec des pécheurs et des collecteurs d'impôts ?	
2:16	ddr2	basic,interpret	ἔλεγον τοῖς μαθηταῖς αὐτοῦ	1	Selon vous, pourquoi les scribes se sont-ils adressés **à ses disciples** plutôt qu'à Jésus lui-même ?	
