JUD	front	intro	xh5n	JUD_front_intro_xh5n		# Introduction à Jude<br><br>## Première partie : Introduction générale<br><br>#### Schéma du livre de Jude<br><br>1. Introduction (1:1-2)<br>2. Mise en garde contre les faux enseignants (1:3-4)<br>3. Comparaison des faux enseignants aux exemples de l’Ancien Testament (1:5-16)<br>4. Exhortation à mener une vie pieuse en réponse (1:17-23)<br>5. Louanges à Dieu (1:24-25)<br><br>### Qui a écrit le livre de Jude?<br><br>L’auteur s’est identifié comme étant Jude, le frère de Jacques. Jude et Jacques étaient tous deux des demi-frères de Jésus. On ignore si cette lettre était destinée à une église spécifique.<br><br>### De quoi parle le livre de Jude?<br><br>Jude a écrit cette lettre pour mettre en garde les croyants contre les faux enseignants. Jude fait souvent référence à l’Ancien Testament. Cela peut suggérer que Jude écrivait à un public chrétien juif. Cette lettre et 2 Pierre ont un contenu similaire. Elles parlent toutes deux des anges, de Sodome et Gomorrhe, et des faux enseignants.<br><br>### Comment traduire le titre de ce livre?<br><br>Les traducteurs peuvent choisir d’appeler ce livre par son titre traditionnel, “Jude”. Ou ils peuvent choisir un titre plus clair, tel que “La lettre de Jude” ou “La lettre que Jude a écrite.” (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>#### Qui étaient les personnes contre lesquelles Jude s’est exprimé ?<br><br>Il est possible que les personnes contre lesquelles Jude s’est exprimé étaient celles qui seraient plus tard connues sous le nom de gnostiques. Ces enseignants déformaient les enseignements de l’Écriture pour leur propre profit. Ils vivaient de façon immorale et enseignaient aux autres à faire de même.<br><br>## Partie 3 : Questions importantes de traduction<br><br>### Singulier et pluriel “vous”<br><br>Dans ce livre, le mot “je” fait référence à Jude. De même, le mot “vous” est toujours au pluriel et fait référence à l’auditoire de Jude. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]] et [[rc://fr/ta/man/translate/figs-you]])<br><br>###Quels sont les problèmes majeurs du texte du livre de 2 Pierre ?<br><br>Pour le verset suivant, il existe des différences entre certains manuscrits anciens. Le texte ULT suit la lecture que la plupart des érudits considèrent comme originale et met l’autre lecture dans une note de bas de page. Si une traduction de la Bible existe dans la langue de communication la plus répandue dans la région, les traducteurs peuvent envisager d’utiliser la lecture trouvée dans cette version. Sinon, il est conseillé aux traducteurs de suivre la lecture de l’ULT.<br>* “que Jésus, ayant sauvé un peuple du pays d’Égypte” [(v. 5)](../01/05.md). Certains manuscrits anciens ont : “que le Seigneur, ayant sauvé un peuple du pays d’Égypte” <br><br>(Voir : [[rc://fr/ta/man/translate/translate-textvariants]]).
JUD	1	2	r5ae	JUD_1_2_r5ae	ἔλεος ὑμῖν, καὶ εἰρήνη, καὶ ἀγάπη πληθυνθείη	Si vos lecteurs comprenaient mal les noms abstraits **miséricorde**, **paix**, et **amour**, vous pourriez exprimer les idées qui les sous-tendent avec des expressions équivalentes. Traduction alternative : “Que Dieu multiplie ses actes miséricordieux envers vous et vous donne un esprit plus paisible et vous aime de plus en plus” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]]).
JUD	1	2	q2qo	JUD_1_2_q2qo	ἔλεος…καὶ εἰρήνη, καὶ ἀγάπη πληθυνθείη.	Jude parle de **miséricorde et paix et amour** comme s’il s’agissait d’objets qui pourraient augmenter en taille ou en nombre. Si cela prête à confusion dans votre langue, vous pouvez utiliser une métaphore différente qui signifie que ces choses vont augmenter, ou utiliser un langage simple. Traduction alternative : “Que Dieu augmente sa miséricorde, sa paix et son amour” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	2	etoo	JUD_1_2_etoo	ὑμῖν	Le mot **vous** dans cette lettre se réfère aux chrétiens à qui Jude écrivait et est toujours au pluriel. (Voir : [[rc://fr/ta/man/translate/figs-you]])
JUD	1	3	htjd	JUD_1_3_htjd	ἀγαπητοί	**Les bien-aimés** désigne ici ceux à qui Jude écrit ; on peut l’étendre à tous les croyants. Si vos lecteurs comprenaient mal ce terme, vous pourriez l’exprimer explicitement. Traduction alternative : “Bien-aimés coreligionnaires” (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])
JUD	1	3	yfa8	JUD_1_3_yfa8	πᾶσαν σπουδὴν ποιούμενος γράφειν ὑμῖν	Cette clause pourrait faire référence à : (1) le fait que Jude avait l’intention d’écrire sur un sujet différent de celui de cette lettre. Traduction alternative : “bien que faisant tous les efforts possibles pour vous écrire” (2) le moment où Jude écrivait. Autre traduction : “quand il s’efforçait de t’écrire”.
JUD	1	3	mi3w	JUD_1_3_mi3w	περὶ τῆς κοινῆς ἡμῶν σωτηρίας	Traduction alternative : “concernant le salut que nous partageons”
JUD	1	3	kvkg	JUD_1_3_kvkg	περὶ τῆς κοινῆς ἡμῶν σωτηρίας	Si vos lecteurs comprennent mal le nom abstrait **salut**, vous pouvez exprimer l’idée qui le sous-tend par une phrase verbale. Traduction alternative : “sur la façon dont Dieu nous a sauvés tous ensemble” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	3	kjk6	JUD_1_3_kjk6	ἡμῶν	Ici, **notre** fait référence à Jude et à son auditoire, des coreligionnaires. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])
JUD	1	3	si1u	JUD_1_3_si1u	ἀνάγκην ἔσχον γράψαι	Si vos lecteurs comprenaient mal le nom abstrait **nécessité**, vous pourriez exprimer l’idée qui le sous-tend avec une expression équivalente. Traduction alternative : “J’avais besoin d’écrire” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	3	yyf4	JUD_1_3_yyf4	παρακαλῶν ἐπαγωνίζεσθαι τῇ…πίστει	Il s’agit d’une clause de finalité. Jude indique le but dans lequel il a écrit la lettre. Dans votre traduction, suivez les conventions de votre langue pour les clauses de but. Traduction alternative (sans la virgule qui précède) : “afin de vous exhorter à lutter pour la foi” (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-goal]])
JUD	1	3	ls3z	JUD_1_3_ls3z	παρακαλῶν ἐπαγωνίζεσθαι τῇ…πίστει	Jude omet le mot “vous” qui, dans de nombreuses langues, est nécessaire pour que la phrase soit complète. Ce mot peut être fourni par la clause précédente. Traduction alternative : “vous exhortant à lutter pour la foi” (Voir : [[rc://fr/ta/man/translate/figs-ellipsis]])
JUD	1	3	pvyp	JUD_1_3_pvyp	τῇ ἅπαξ παραδοθείσῃ τοῖς ἁγίοις πίστει	Si votre langue n’utilise pas la forme passive **livré**, vous indiquez qui a fait l’action. Traduction alternative : “pour la foi que Dieu a livrée une fois pour toutes aux saints” (Voir : [[rc://fr/ta/man/translate/figs-activepassive]])
JUD	1	3	j67u	JUD_1_3_j67u	ἅπαξ	Ici, **> une fois pour toutes <** exprime l’idée de quelque chose qui n’a été fait qu’une fois et jamais plus. Le sens de **> pour tous <** est “pour tous les temps”. Il ne signifie pas “pour le bien de toutes les personnes”.
JUD	1	4	he1b	JUD_1_4_he1b	γάρ	Ici, **Pour** indique que Jude donne une raison pour laquelle il a dit dans le verset précédent qu’il veut que ses lecteurs “luttent pour la foi.” Traduction alternative : “Je veux que vous fassiez ceci parce que” (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-result]])
JUD	1	4	v94i	JUD_1_4_v94i	παρεισέδυσαν γάρ τινες ἄνθρωποι	Traduction alternative : “Car certains hommes se sont faufilés sans se faire remarquer” ou “Car certains hommes sont entrés sans attirer l’attention sur eux”.
JUD	1	4	qevn	JUD_1_4_qevn	παρεισέδυσαν γάρ τινες ἄνθρωποι	Dans cette phrase, Jude laisse de côté des mots dont il aurait besoin dans de nombreuses langues pour être complet. Si cette phrase est nécessaire dans votre langue, elle peut être fournie par le verset [12](../01/12.md). Traduction alternative : “Car certains hommes sont entrés secrètement dans vos fêtes d’amour” ou “Car certains hommes sont entrés secrètement dans vos réunions” (Voir : [[rc://fr/ta/man/translate/figs-ellipsis]]).
JUD	1	4	wwz3	JUD_1_4_wwz3	οἱ πάλαι προγεγραμμένοι εἰς τοῦτο τὸ κρίμα	Si votre langue n’utilise pas cette forme passive **ayant été désigné, vous pouvez indiquer qui a fait l’action. Traduction alternative : “des hommes que Dieu a depuis longtemps désignés d’avance pour cette condamnation” (Voir : [[rc://fr/ta/man/translate/figs-activepassive]])
JUD	1	4	c7a6	JUD_1_4_c7a6	εἰς τοῦτο τὸ κρίμα	Si vos lecteurs comprenaient mal le nom abstrait **condamnation**, vous pourriez exprimer l’idée qui le sous-tend avec une expression équivalente. Traduction alternative : “être condamné” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	4	u2oj	JUD_1_4_u2oj	ἀσεβεῖς	Ici, **impies** fait référence aux “certains hommes” mentionnés au début du verset. Ils sont les faux enseignants contre lesquels Jude met en garde ses lecteurs. Si vos lecteurs comprenaient mal ce terme, vous pourriez l’exprimer explicitement. Traduction alternative : “faux enseignants impies” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
JUD	1	4	c642	JUD_1_4_c642	τὴν τοῦ Θεοῦ ἡμῶν χάριτα μετατιθέντες εἰς ἀσέλγειαν	Ici, on parle de la **grâce de Dieu** au sens figuré, comme s’il s’agissait d’une chose qui pourrait être changée en quelque chose de pécheur. Si cela prête à confusion dans votre langue, vous pourriez traduire cela d’une manière non figurative. Les faux enseignants enseignaient que les croyants pouvaient faire des actes sexuellement immoraux parce que la grâce de Dieu le permettait. Paul s’est attaqué à ce genre de faux enseignement lorsqu’il a écrit dans Romains 6:1-2a : “Devrions-nous persister dans le péché pour que la grâce abonde ? Qu’il n’en soit jamais ainsi !” Traduction alternative : “enseigner que la grâce de Dieu permet la licence” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	4	g35s	JUD_1_4_g35s	ἡμῶν…ἡμῶν	Les deux occurrences de **notre** dans ce verset font référence à tous les croyants. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])
JUD	1	4	esef	JUD_1_4_esef	τὴν τοῦ Θεοῦ ἡμῶν χάριτα	Si vos lecteurs comprenaient mal le nom abstrait **grâce**, vous pourriez exprimer l’idée qui le sous-tend avec une expression équivalente. Traduction alternative : “les actes de bonté de notre Dieu” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	4	tmju	JUD_1_4_tmju	εἰς ἀσέλγειαν	Au cas où vos lecteurs comprendraient mal le nom abstrait **licence**, vous pourriez exprimer l’idée qui le sous-tend à l’aide d’une phrase adjective. Traduction alternative : “en comportement licencieux” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	4	ws1b	JUD_1_4_ws1b	τὸν μόνον Δεσπότην καὶ Κύριον ἡμῶν, Ἰησοῦν Χριστὸν, ἀρνούμενοι	Traduction alternative : “ enseigner que Jésus-Christ n’est pas notre Maître et Seigneur “.
JUD	1	4	p7g6	JUD_1_4_p7g6	τὸν μόνον Δεσπότην καὶ Κύριον ἡμῶν	Ici, **Seigneur** signifie “la personne qui est seigneur sur nous” ou “la personne qui nous gouverne”. La conjonction **et** indique que **notre** s’applique également en retour à **seulement Maître**, c’est-à-dire “ la personne qui nous possède. “ Traduction alternative : “la seule personne qui nous possède et qui règne sur nous” (voir : [[rc://fr/ta/man/translate/figs-possession]]).
JUD	1	5	pg0e	JUD_1_5_pg0e	ὑπομνῆσαι…ὑμᾶς βούλομαι, εἰδότας ὑμᾶς ἅπαξ πάντα	Si cela était naturel dans votre langue, vous pourriez inverser l’ordre des deux premières clauses. Traduction alternative : “vous connaissant toutes choses une fois pour toutes, je veux vous les rappeler” (Voir : [[rc://fr/ta/man/translate/figs-infostructure]])
JUD	1	5	fa5e	JUD_1_5_fa5e	πάντα	Ici, **toutes les {choses}** fait spécifiquement référence à toutes les informations que Jude va rappeler à ses lecteurs. Cela ne signifie pas tout ce qu’il y a à savoir sur Dieu ou tout en général. Si vos lecteurs comprenaient mal cette phrase, vous pourriez l’exprimer explicitement. Traduction alternative : “toutes ces choses que je vous rappelle” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
JUD	1	5	xiss	JUD_1_5_xiss	ὅτι Ἰησοῦς	Ici, certains manuscrits anciens ont, “que le Seigneur”. Consultez la discussion sur les questions textuelles à la fin de l’introduction à Jude pour décider de la phrase à utiliser dans votre traduction. (Voir : [[rc://fr/ta/man/translate/translate-textvariants]])
JUD	1	5	z1h9	JUD_1_5_z1h9	λαὸν ἐκ γῆς Αἰγύπτου σώσας	Cela pourrait signifier que : (1) Jude indique le moment de l’événement décrit dans cette clause, auquel cas le moment est rendu clair par l’occurrence de “après” dans la clause suivante. (2) Jude établit un contraste entre ce que Jésus a fait dans cette clause et ce qu’il a fait dans la suivante. Traduction alternative : “bien qu’il ait sauvé un peuple du pays d’Egypte”.
JUD	1	5	f4mm	JUD_1_5_f4mm	λαὸν ἐκ γῆς Αἰγύπτου σώσας	Si cela peut être utile à vos lecteurs, vous pourriez indiquer explicitement qui étaient les personnes qu’il a **sauvées**. Traduction alternative : “ ayant sauvé le peuple d’Israël du pays d’Égypte “ ou “ ayant sauvé les Israélites du pays d’Égypte “ (Voir : [[rc://fr/ta/man/translate/figs-explicit]]).
JUD	1	6	g5ld	JUD_1_6_g5ld	τοὺς μὴ τηρήσαντας τὴν ἑαυτῶν ἀρχὴν	Ici, Jude utilise cette expression pour distinguer les **anges** qui ont été gardés par Dieu pour le jugement de ceux qui ne l’ont pas été. (Voir : [[rc://fr/ta/man/translate/figs-distinguish]])
JUD	1	6	pt1k	JUD_1_6_pt1k	τὴν ἑαυτῶν ἀρχὴν	Ici, le mot traduit par **> domaine <** fait référence à la sphère d’influence d’une personne ou au lieu où elle a de l’autorité. Traduction alternative : “sa propre zone d’influence” ou “son propre lieu d’autorité”.
JUD	1	6	s3cn	JUD_1_6_s3cn	δεσμοῖς ἀϊδίοις ὑπὸ ζόφον τετήρηκεν	Ici, **il** se réfère à Dieu. Si cela peut être utile pour vos lecteurs, vous pouvez l’exprimer explicitement. Traduction alternative : “Dieu a gardé dans des chaînes éternelles, sous les ténèbres” (Voir : [[rc://fr/ta/man/translate/writing-pronouns]])
JUD	1	6	c8gf	JUD_1_6_c8gf	δεσμοῖς ἀϊδίοις…τετήρηκεν	Ici, **> gardé dans des chaînes éternelles <** fait référence à un emprisonnement qui dure pour toujours. Si vos lecteurs comprenaient mal cette phrase, vous pourriez inclure l’idée d’emprisonnement dans votre traduction. Traductions alternatives : “Dieu a emprisonné pour l’éternité”
JUD	1	6	s1j9	JUD_1_6_s1j9	ὑπὸ ζόφον	Ici, **ténèbres** est une métonymie qui représente le lieu des morts ou l’enfer. Traduction alternative : “dans l’obscurité totale de l’enfer” (Voir : [[rc://fr/ta/man/translate/figs-metonymy]])
JUD	1	6	jzdj	JUD_1_6_jzdj	εἰς κρίσιν μεγάλης ἡμέρας	Cette phrase donne le but ou l’objectif pour lequel les anges ont été emprisonnés. Traduction alternative : “dans le but du jugement du grand jour” (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-goal]])
JUD	1	6	k1c6	JUD_1_6_k1c6	εἰς κρίσιν μεγάλης ἡμέρας	Si vos lecteurs comprenaient mal le nom abstrait **jugement**, vous pourriez exprimer l’idée qui le sous-tend avec une expression équivalente. Traduction alternative : “pour le grand jour où Dieu juge” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	6	ccz6	JUD_1_6_ccz6	μεγάλης ἡμέρας	Ici, **le grand jour** fait référence au “jour du Seigneur”, qui est le moment où Dieu juge tout le monde, et où Jésus revient sur terre. (Voir : [[rc://fr/tw/dict/bible/kt/dayofthelord]]) Si cela peut être utile à vos lecteurs, vous pourriez l’exprimer explicitement. Traduction alternative : “le grand jour du Seigneur” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
JUD	1	7	yn36	JUD_1_7_yn36	Σόδομα καὶ Γόμορρα, καὶ αἱ περὶ αὐτὰς πόλεις	Ici, **Sodome**, **Gomorrhe**, et **villes** font tous référence aux personnes qui vivaient dans ces villes. Traduction alternative : “ les gens de la région de Sodome et Gomorrhe “ (Voir : [[rc://fr/ta/man/translate/figs-metonymy]]).
JUD	1	7	r3e9	JUD_1_7_r3e9	τὸν ὅμοιον τρόπον τούτοις	Ici, **ces** se réfèrent aux anges mentionnés dans le verset précédent. Les péchés sexuels de Sodome et Gomorrhe étaient le résultat du même type de rébellion que les mauvaises manières des anges. Si vos lecteurs comprenaient mal cette phrase, vous pourriez l’exprimer explicitement. Traduction alternative : “de la même manière que ces anges méchants” (Voir : [[rc://fr/ta/man/translate/writing-pronouns]])
JUD	1	7	tr3y	JUD_1_7_tr3y	ἐκπορνεύσασαι	Si vos lecteurs comprenaient mal le nom abstrait **immortalité sexuelle**, vous pourriez exprimer l’idée qui le sous-tend avec une expression équivalente. Traduction alternative : “ avoir commis des actes sexuellement immoraux “ (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]]).
JUD	1	7	q9jk	JUD_1_7_q9jk	καὶ ἀπελθοῦσαι ὀπίσω σαρκὸς ἑτέρας	Ici, Jude utilise l’expression **ayant poursuivi** au sens figuré pour se référer à l’engagement actif dans une activité inappropriée au lieu d’une activité appropriée. Cette expression est fréquemment utilisée dans la Bible pour décrire des personnes adorant de faux dieux ou s’adonnant à l’immoralité sexuelle. Si vos lecteurs comprendraient mal cette expression, vous pouvez l’exprimer au sens propre. Traduction alternative : “et se livrant habituellement à l’immoralité sexuelle avec d’autres chairs” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	7	wp6v	JUD_1_7_wp6v	σαρκὸς ἑτέρας	Ici, **> autre chair <** pourrait se référer à : (1) l’immoralité sexuelle mentionnée dans la clause précédente. Traduction alternative : “relations sexuelles inconvenantes” (2) la chair d’une espèce différente, en l’occurrence en référence aux anges avec lesquels les habitants de Sodome et Gomorrhe veulent avoir des relations sexuelles. Traduction alternative : “chair d’une espèce différente”
JUD	1	7	pi4t	JUD_1_7_pi4t	πρόκεινται δεῖγμα	La destruction des habitants de Sodome et Gomorrhe est un **exemple** de ce qui arrive aux personnes qui rejettent Dieu. Si vos lecteurs comprenaient mal cette phrase, vous pourriez l’exprimer explicitement. Traduction alternative : “sont affichés comme un exemple de ceux qui rejettent Dieu” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
JUD	1	7	jhdl	JUD_1_7_jhdl	πυρὸς αἰωνίου δίκην ὑπέχουσαι	Si vos lecteurs comprennent mal le nom abstrait **punition**, vous pouvez exprimer l’idée qui le sous-tend par une phrase verbale. Traduction alternative : “souffrant lorsque Dieu les punit par le feu éternel” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	8	p12m	JUD_1_8_p12m	ὁμοίως	Ici, **de la même manière** renvoie à l’immoralité sexuelle des habitants de Sodome et Gomorrhe dont il est question dans le verset précédent, et éventuellement au comportement inapproprié des anges méchants dont il est question dans le verset [6](../01/06.md). Si vos lecteurs comprennent mal ce lien, vous pourriez l’exprimer explicitement. Traduction alternative : “de la même manière que ces immoraux” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
JUD	1	8	ujs2	JUD_1_8_ujs2	οὗτοι ἐνυπνιαζόμενοι	Ici, **ces** se réfèrent aux faux enseignants présentés au verset [4](../01/04.md). Si vos lecteurs comprenaient mal cette phrase, vous pourriez l’exprimer explicitement. Traduction alternative : “ces faux docteurs qui rêvent” (Voir : [[rc://fr/ta/man/translate/writing-pronouns]])
JUD	1	8	ez4l	JUD_1_8_ez4l	σάρκα μὲν μιαίνουσιν	Ici, **chair** fait référence aux corps de ces faux enseignants. Paul est d’accord avec cette idée lorsqu’il dit dans 1 Corinthiens 6:18 que l’immoralité sexuelle est un péché contre son propre corps. Si vos lecteurs comprennent mal cette idée, vous pourriez l’exprimer explicitement. Traduction alternative : “souillent leur corps” (Voir : [[rc://fr/ta/man/translate/figs-metonymy]])
JUD	1	8	q9ct	JUD_1_8_q9ct	κυριότητα	Ici, **> seigneurie <** pourrait se référer à : (1) la seigneurie de Jésus. Traduction alternative : “l’autorité dominante de Jésus” (2) la seigneurie de Dieu. Autre traduction : “l’autorité dominante de Dieu”
JUD	1	8	qvhs	JUD_1_8_qvhs	κυριότητα…ἀθετοῦσιν	Si vos lecteurs comprenaient mal le nom abstrait **seigneurie**, vous pourriez exprimer l’idée qui le sous-tend avec une expression équivalente. Traduction alternative : “ rejeter ce que Jésus commande “ ou “ rejeter ce que Dieu commande “ (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]]).
JUD	1	8	pn3j	JUD_1_8_pn3j	δόξας	Ici, **> glorieux <** se réfère à des êtres spirituels, tels que les anges. Traduction alternative : “êtres spirituels glorieux”
JUD	1	9	uzj1	JUD_1_9_uzj1	κρίσιν ἐπενεγκεῖν βλασφημίας	Ici, Jude parle au sens figuré du **jugement** comme si c’était quelque chose que quelqu’un peut **apporter** d’un endroit à un autre. Si vos lecteurs comprenaient mal cette métaphore, vous pourriez l’exprimer de manière non figurative. Traduction alternative : “ prononcer un jugement de calomnie contre lui “ (Voir : [[rc://fr/ta/man/translate/figs-metaphor]]).
JUD	1	9	v9fh	JUD_1_9_v9fh	κρίσιν ἐπενεγκεῖν βλασφημίας	Si vos lecteurs comprenaient mal le nom abstrait **jugement**, vous pourriez exprimer l’idée qui le sous-tend avec une expression équivalente. Traduction alternative : “l’accuser de calomnie” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	9	lxf3	JUD_1_9_lxf3	κρίσιν ἐπενεγκεῖν βλασφημίας	Jude utilise la forme possessive pour décrire un **jugement** qui est caractérisé par **la calomnie**. Si cela n’est pas clair dans votre langue, vous pourriez utiliser une phrase pour l’expliquer. Traduction alternative : “ porter contre lui un jugement calomnieux “ (Voir : [[rc://fr/ta/man/translate/figs-possession]]).
