TIT	front	intro	m2jl	TIT_front_intro_m2jl		# Introduction à Tite<br><br>## 1e partie : Introduction générale<br><br>### Aperçu du livre de Tite<br><br>1. Paul ordonne à Tite de nommer des chefs pieux. (phrases 1 à 9/30)<br>2. Paul ordonne à Tite de former les gens à vivre une vie pieuse. (phrases 10 à 24/30)<br>3. Paul termine en partageant certains de ses plans et en envoyant des salutations à divers croyants. (phrases 25 à 30/30)<br><br>### Qui a écrit le livre de Tite ?<br><br>Paul a écrit le livre de Tite. Paul était de la ville de Tarse. Il avait été connu sous le nom de Saul au début de sa vie. Avant de devenir chrétien, Paul était un pharisien. Il a persécuté les chrétiens. Après être devenu chrétien, il a voyagé plusieurs fois à travers l’Empire Romain pour parler de Jésus aux gens.<br><br>### De quoi parle le livre de Tite ?<br><br>Paul a écrit cette lettre à Tite, son compagnon de travail, qui dirigeait les églises de l’île de Crète. Paul l’a instruit sur la sélection des dirigeants de l’église. Paul a également décrit comment les croyants devraient se comporter les uns envers les autres. Il les a tous encouragés à vivre d’une manière qui plaît à Dieu.<br><br>### Comment traduire le titre de ce livre ?<br><br>Les traducteurs peuvent choisir d’appeler ce livre par son titre traditionnel, « Tite ». Ou bien, ils peuvent choisir un titre plus clair, comme « Lettre de Paul à Tite » ou « Une lettre à Tite ». (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>## 2e partie : Concepts religieux et culturels importants<br><br>### Dans quels rôles les gens peuvent-ils servir au sein de l’Église ?<br><br>Il y a quelques enseignements dans le livre de Tite sur la question de savoir si une femme ou un homme divorcé peut occuper des postes de direction au sein de l’église. Les érudits sont en désaccord sur le sens de ces enseignements. Une étude plus approfondie de ces questions pourrait être nécessaire avant de traduire ce livre.<br><br>## 3e partie : Problèmes importants de traduction<br><br>### Le singulier et le pluriel du pronom personnel de la deuxième personne<br><br>Dans ce livre, le mot *Je* fait référence à Paul. Mais le mot *tu* est presque toujours au singulier et fait référence à Tite. Il y a une exception dans la dernière phrase (30/30), où Paul s’adresse à tous les Chrétiens de l’île de Crète qui sont avec Tite. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]] and [[rc://fr/ta/man/translate/figs-you]])<br><br>### Que signifie **Dieu notre Sauveur** ?<br><br>C’est une expression courante dans cette lettre. Paul voulait faire réfléchir les lecteurs sur la façon dont Dieu leur a pardonné en Christ d’avoir péché contre lui, et en leur pardonnant, il les a sauvés de la punition qui viendra lorsqu’il jugera tout le monde. Une expression semblable dans cette lettre est *notre grand Dieu et Sauveur Jésus-Christ*.
TIT	1	11	tw4e	TIT_1_11_tw4e	διδάσκοντες ἃ μὴ δεῖ	C’est-à-dire, « Ce sont des choses qu’on ne doit pas enseigner concernant Christ et la Loi parce qu’elles ne sont pas vraies ».
TIT	1	11	at7c	TIT_1_11_at7c	αἰσχροῦ κέρδους χάριν	L’expression *un gain honteux* n’est peut-être pas claire dans votre langue. L’adjectif *honteux* s’applique à ce qu’ils ont fait pour gagner de l’argent, mais pas à l’argent lui-même. La Traduction Sémantique clarifie cela en mettant *honteux* dans une phrase distincte.
TIT	1	12	tr1j	TIT_1_12_tr1j	τις ἐξ αὐτῶν, ἴδιος αὐτῶν προφήτης	Paul détourne son attention des gens rebelles parmi les chrétiens de Crète, et parle maintenant de quelqu’un que les Crétois croyaient être un prophète. Il se réfère à lui comme *un parmi eux*, ce qui implique qu’il était un Crétois.
TIT	1	12	y3zb	TIT_1_12_y3zb	Κρῆτες ἀεὶ ψεῦσται	C’est une exagération qui signifie que les Crétois avaient la réputation d’être des menteurs. (Voir : [[rc://fr/ta/man/translate/figs-hyperbole]])
TIT	1	12	h3jb	TIT_1_12_h3jb	κακὰ θηρία	Cette métaphore compare les Crétois à de dangereux animaux sauvages. Traduction alternative : « Les Crétois sont aussi dangereux que des animaux sauvages ». (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	1	12	xyz1	TIT_1_12_xyz1	γαστέρες ἀργαί	Le ventre, qui est la partie du corps qui stocke la nourriture, est utilisé ici pour représenter une personne qui mange tout le temps. Traduction alternative : « des gloutons paresseux ». (Voir : [[rc://fr/ta/man/translate/figs-synecdoche]])
TIT	1	13	abck	TIT_1_13_abck	δι’ ἣν αἰτίαν	L’expression *Pour cette raison* introduit une relation raison → résultat. La raison est que ce que le prophète crétois a dit à propos de son peuple est vrai (ce sont des menteurs, des méchants et des paresseux). Le résultat est que Tite devrait les réprimander sévèrement. Traduction alternative : « Pour cette raison, vous devez utiliser un langage très fort quand vous corrigez les Crétois ». (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-result]])
TIT	1	13	fif8	TIT_1_13_fif8	δι’ ἣν αἰτίαν ἔλεγχε αὐτοὺς ἀποτόμως	À cause de la vérité de ce que le prophète crétois a dit, Paul insiste que Tite et les anciens les corrigent rigoureusement. Traduction alternative : “Pour cette raison, vous devez utiliser un langage très fort quand vous corrigez les Crétois”.
TIT	1	13	je3r	TIT_1_13_je3r	ἵνα ὑγιαίνωσιν ἐν τῇ πίστει	Voir la note sur *sain* dans la phrase 3/30. Traduction alternative : « afin qu’ils aient une foi saine » ou « afin que leur foi soit ferme » ou « afin qu’ils croient seulement ce qui est vrai au sujet de Dieu ».
TIT	1	13	abcl	TIT_1_13_abcl	ἵνα	L’expression *afin que* introduit une relation raison → résultat. La raison est que l’ancien réprimande sévèrement les Crétois. Le résultat est que les Crétois deviennent sains dans la foi. (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-result]])
TIT	1	13	xyz2	TIT_1_13_xyz2	ἐν τῇ πίστει	Ici le nom abstrait **foi** représente les choses que les gens croient au sujet de Dieu. Traduction alternative : “ce qu’ils croient au sujet de Dieu” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
TIT	1	14	abcm	TIT_1_14_abcm	μὴ	L’adverbe de négation, **ne… pas**, introduit un contraste avec l’état d’être “solide dans la foi” dans le verset précédent. Afin d’être sain dans la foi, le peuple ne doit prêter aucune attention aux mythes juifs ou aux commandements de gens qui ne suivent pas la vérité. (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-contrast]])
TIT	1	14	p28i	TIT_1_14_p28i	Ἰουδαϊκοῖς μύθοις	Paul compare les mythes judaïques à des faux enseignement des Juifs et à des histoires inventées par les Juifs.
TIT	1	14	m4a5	TIT_1_14_m4a5	ἀποστρεφομένων τὴν ἀλήθειαν	Paul parle de la vérité comme si c’était un objet que les hommes pouvaient contourner ou éviter. Traduction alternative : « les commandements des hommes qui rejettent la vérité ». (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	1	15	qtb9	TIT_1_15_qtb9	πάντα καθαρὰ τοῖς καθαροῖς	Les personnes pures sont celles qui sont agréables à Dieu. 
TIT	1	15	nx42	TIT_1_15_nx42	τοῖς καθαροῖς	C’est-à-dire “à ceux qui sont acceptables à Dieu”
TIT	1	15	abcn	TIT_1_15_abcn	δὲ	Le mot *Mais* introduit un contraste entre les gens qui sont purs et les gens qui sont corrompus et incroyants. (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-contrast]])
TIT	1	15	n3wk	TIT_1_15_n3wk	τοῖς…μεμιαμμένοις καὶ ἀπίστοις, οὐδὲν καθαρόν	Paul utilise la métaphore d’une personne physiquement sale en parlant d’une personne moralement souillée et qui ne croit pas. Il dit de ces personnes « qu’elles ne peuvent rien faire de pur » ou « que lorsque les gens sont pleins de péché et d’incrédulité, rien de ce qu’ils font n’est acceptable pour Dieu » (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	1	16	abco	TIT_1_16_abco	δὲ	Le mot *mais* introduit un contraste entre ce que ces personnes corrompues disent (elles connaissent Dieu) et ce que leurs actions manifestent (elles ne connaissent pas Dieu). (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-contrast]])
TIT	1	16	i3l2	TIT_1_16_i3l2	τοῖς…ἔργοις ἀρνοῦνται	Le verbe *renier* exprime l’idée de ne plus croire en Dieu comme le vrai Dieu ; Paul dit que les actions des Crétois montrent qu’ils ne croient plus en Dieu. Traduction alternative : “leurs actions montrent qu’ils ne croient plus en Dieu”  
TIT	1	16	ja47	TIT_1_16_ja47	βδελυκτοὶ ὄντες	On peut aussi dire qu’ils sont odieux, haïssables, exécrables. Traduction alternative : “odieux” 
TIT	2	intro	h3il	TIT_2_intro_h3il		# Tite 2 Remarques générales<br><br>## Concepts spéciaux dans ce chapitre<br><br>### Les rôles des hommes et des femmes<br><br>Les savants sont divisés sur la façon de comprendre ce passage dans son contexte historique et culturel. Certains érudits croient que les hommes et les femmes sont parfaitement égaux en toutes choses. D’autres croient que Dieu a créé les hommes et les femmes pour qu’ils remplissent des rôles distinctement différents dans le mariage et dans l’église. Les traducteurs doivent faire attention à ne pas laisser la façon dont ils comprennent ce problème affecter la façon dont ils traduisent ce passage.<br><br>### L’esclavage<br><br>Paul ne nous dit pas dans ce chapitre si l’esclavage est bon ou mauvais. Il enseigne aux esclaves à servir fidèlement leurs maîtres. Il enseigne à tous les croyants d’être pieux et de vivre correctement dans toutes les situations.
TIT	2	1	lfu1	TIT_2_1_lfu1		Paul continue de donner des instructions à Tite pour prêcher la parole de Dieu, et il explique comment les hommes et les femmes plus âgés, les jeunes hommes et les esclaves ou serviteurs devraient vivre en tant que croyants.
TIT	2	1	tpi2	TIT_2_1_tpi2	σὺ δὲ	Ici, le pronom “toi” est au singulier et fait référence à Tite. Si c’est plus clair, vous pouvez inclure le nom “Tite” comme dans l’UST ([[rc://fr/ta/man/translate/figs-explicit]])
TIT	2	1	ph2j	TIT_2_1_ph2j	τῇ ὑγιαινούσῃ διδασκαλίᾳ	Voir la note de la phrase 3/30. Traduction alternative : « à une saine doctrine » ou « à des enseignements corrects ».
TIT	2	2	xyz3	TIT_2_2_xyz3	πρεσβύτας…εἶναι	Le grec s’exprime ici avec le verbe *être* seulement, mais en français il faut ajouter un verbe introducteur. N’hésitez donc pas à le faire dans votre langue si nécessaire. (Voir : [[rc://fr/ta/man/translate/figs-ellipsis]])
TIT	2	2	xy13	TIT_2_2_xy13	νηφαλίους…σεμνούς, σώφρονας	Ces trois adjectifs ont une signification très proche et peuvent être combinés en un ou deux si votre langue cible n’a pas trois adjectifs distincts. L’adjectif traduit ici par *modérés* s’applique à un homme qui pense et agit avec bon sens, qui réfléchit avant d’agir. Traduction alternative : « doivent être… capables de contrôler leurs désirs ». (Voir : [[rc://fr/ta/man/translate/figs-doublet]])
TIT	2	2	xc6t	TIT_2_2_xc6t	νηφαλίους	On pourrait dire “sobre d’esprit” ou “maître de soi” si c’est plus naturel dans la langue cible.
TIT	2	2	y3j2	TIT_2_2_y3j2	εἶναι…σώφρονας	L’adjectif traduit ici par *modérés* s’applique à un homme qui pense et agit avec bon sens, qui réfléchit avant d’agir. Traduction alternative : « doivent être… capable de contrôler leurs désirs ».
TIT	2	2	abc1	TIT_2_2_abc1	ὑγιαίνοντας τῇ πίστει	Voir la note de la phrase 3/30.
TIT	2	2	m14y	TIT_2_2_m14y	ὑγιαίνοντας τῇ πίστει	Vous pouvez utiliser le nom abstrait “la foi” comme un verbe si c’est plus clair dans votre langue. Traduction alternative : “des hommes qui croient totalement aux vrais enseignements au sujet de Dieu” (Voir : \[rc://fr/ta/man/translate/figs-abstractnouns\])
TIT	2	2	z14y	TIT_2_2_z14y	τῇ ἀγάπῃ	Vous pouvez utiliser le nom abstrait “amour” comme un verbe si cela est plus clair dans votre langue comme dans le GST. (Voir : \[rc://fr/ta/man/translate/figs-abstractnouns\])
TIT	2	2	a14y	TIT_2_2_a14y	τῇ ὑπομονῇ	Vous pouvez remplacer le nom abstrait **persévérance** par un verbe si cela est plus clair dans votre langue. Par exemple : “et persévérer au service de Dieu même lorsque c’est difficile”. (Voir : \[rc://fr/ta/man/translate/figs-abstractnouns\])
TIT	2	3	gl8e	TIT_2_3_gl8e	πρεσβύτιδας ὡσαύτως	Le grec s’exprime ici avec le verbe *être* seulement, mais en français il faut ajouter un verbe introducteur. N’hésitez donc pas à le faire dans votre langue si nécessaire. (Voir : \[rc://fr/ta/man/translate/figs-ellipsis\])
TIT	2	3	v9cp	TIT_2_3_v9cp	διαβόλους	Cet adjectif fait référence aux gens qui disent de mauvaises choses au sujet d’autres personnes, qu’elles soient vraies ou non.
TIT	2	3	g9re	TIT_2_3_g9re	οἴνῳ πολλῷ δεδουλωμένας	L’expression “asservies à trop de vin” parle des gens qui ne peuvent pas se contrôler et boivent trop de vin comme s’ils étaient esclaves du vin. Voici d’autres façons de dire cela : “contrôlé par leur désir de boire du vin” ou “accro au vin” (Voir : [rc://fr/ta/man/translate/figs-metaphor])
