Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:9	rl52		rc://fr/ta/man/translate/figs-pronouns	Faisons […] notre […] nous	1	La Bible enseigne qu’il n’y a qu’un seul Dieu, mais le mot « Dieu » de l’Ancien Testament est une forme plurielle et Dieu utilise des pronoms au pluriel lorsqu’il se parle à lui-même. Certains y voient une façon de parler particulière qui exprime la majesté de Dieu, d’autres le comprennent en tant que Dieu le Père s’adressant au Fils et à l’Esprit, qui sont tous Dieu.
1:9	pqh6		rc://*/ta/man/translate/figs-doublet	à notre image […] qu’ils nous ressemblent	1	Les deux phrases « à notre image » et « qu’ils nous ressemblent » sont un doublet. Elles signifient presque la même chose. Ensemble, elles montrent que l’homme devait être très semblable à Dieu, mais pas identique.
1:9	k9ft			afin qu’ils nous ressemblent	1	Les êtres humains partagent certaines caractéristiques et qualités de Dieu, mais pas toutes. Cette phrase devrait être traduite par des mots qui montrent que l’homme est semblable à Dieu, mais n’est pas égal avec lui.
1:9	xmo2			Ils régneront sur la terre et sur tous les animaux	1	Dieu a donné aux êtres humains le droit et le pouvoir de gérer, de guider et de contrôler la terre et les animaux.
1:10	hg1i			pris de la terre	1	Ici Dieu prend de la poussière, la couche superficielle du sol en particules très légères et très fines. Il faudrait donc trouver un mot qui est l’équivalent de la poussière.
1:10	zust			a formé	1	Au lieu de créer par la parole comme il l’avait fait auparavant, Dieu a personnellement façonné l’homme, non pas à partir de rien, mais en commençant avec de la poussière. Il est donc important de choisir un mot différent que « créer » pour la traduction.
1:10	xunj			un homme	1	Dieu n’a formé que l’homme à ce moment. Il a fait la femme plus tard par une méthode différente.
1:10	imbt			insufflé la vie	1	Cette phrase exprime l’action très personnelle et intime de Dieu, tandis qu’il transfère la vie qui est en lui pour la mettre dans le corps d’Adam, en le comparant à la respiration humaine.
1:10	uygx			vie	1	À ce moment-là, Dieu a insufflé la vie en l’homme à la fois physiquement et spirituellement.
1:10	avg2			Adam	1	Ce nom est le même que celui qu’on trouve dans l’Ancient Testament pour « homme ». Ce mot ressemble aussi au terme « sol » qui est la matière que Dieu a employée pour faire l’homme.
1:10	r1i8			un grand jardin	1	Le terrain où l’on cultive des légumes, des fleurs, des arbres fruitiers et ornementaux ou une variété de ces plantes.
1:10	fioq			prendre soin	1	Entretenir le jardin, le soigner, planter, désherber, arroser, moissonner, etc.
1:11	nczr			Au milieu	1	L’emplacement central des deux arbres souligne leur importance.
1:11	j9qn			jardin	1	Le terrain où l’on cultive des légumes, des fleurs, des arbres fruitiers et ornementaux ou une variété de ces plantes.
1:11	glpu			l’arbre de la vie	1	Quiconque mangerait du fruit de cet arbre ne mourrait jamais.
1:11	yn5t			l’arbre de la connaissance du bien et du mal	1	Manger du fruit de cet arbre permettrait à quelqu’un de connaître le bien et le mal.
1:11	ohbc			connaissance	1	Le fait de comprendre, de savoir les propriétés, les caractéristiques, les traits spécifiques de quelque chose.
1:11	yodw			du bien et du mal	1	Le mal est le contraire du bien. Tout comme « le bien » se réfère à ce qui est agréable à Dieu, « le mal » se réfère à tout ce qui n’est pas agréable à Dieu.
1:11	v0fj			mourir	1	Dans ce cas ce sera la mort physique et spirituelle.
1:12	jxnv			pas bon	1	Pour la première fois Dieu trouve que quelque chose dans la création n’est pas bon. Cela signifie ici que ce n’était pas complètement bon parce que Dieu n’avait pas fini la création de l’homme.
1:12	e440			seul	1	Adam était le seul être humain, donc il ne pouvait pas avoir de relation avec une autre personne, avoir des enfants et se multiplier.
1:12	kt6f			aide pour Adam	1	Il n’y avait personne qui était semblable à Adam pour se joindre à lui et accomplir la tâche que Dieu lui avait donnée. Aucun des animaux ne pouvait le faire.
1:13	ofb4			un profond sommeil	1	Un sommeil intense, plus profond que la norme.
1:13	dt8r			a pris une des côtes d’Adam et de cette côte il a fait	1	Les verbes indiquent l’acte très personnel de Dieu lorsqu’il a enlevé une côte du corps endormi d’Adam, et que de cette côte il a formé une femme.
1:13	n5pj			une femme	1	Elle était la première femme, la version féminine manquante des êtres humains.
1:13	bcg3			l’a amenée vers Adam	1	Dieu a conduit la femme qu’il a faite vers Adam et il les a présentés l’un à l’autre. Il a présenté la femme à Adam comme un cadeau très spécial.
1:14	nqth			Enfin !	1	L’exclamation d’Adam nous dit qu’il avait désiré quelqu’un comme la femme que Dieu a faite pour lui.
1:14	q5g7			comme moi	1	Même avec des différences importantes entre eux, l’homme et la femme étaient des créatures semblables.
1:14	n0ph			femme	1	Ce mot est le féminin du mot « homme ».
1:14	yvhc			a été faite de « l’homme »	1	Dieu a enlevé une côte du corps endormi d’Adam et de cette côte il a formé une femme. Donc la femme a été prise directement du corps d’Adam.
1:14	g2u1			un homme quitte	1	Cette phrase au présent indique ce qui sera normal dans l’avenir. Adam n’avait ni père ni mère mais tous ses descendants allaient en avoir.
1:14	zmqh		rc://fr/ta/man/translate/figs-idiom	un homme […] s’attache à sa femme	1	La Bible dit que l’homme et sa femme auront un lien intime d’unité, et un engagement l’un envers l’autre qui va dépasser leurs relations avec qui que ce soit. Ainsi, ils deviendront comme une seule chair.
1:15	u4lo			Dieu a fait	1	Dieu a façonné l’homme et la femme d’une manière très personnelle.
1:15	xa05			à son image	1	Une image est une représentation de quelqu’un ou quelque chose. Dieu a créé les êtres humains pour qu’ils manifestent certaines qualités, habilités ou traits de caractère qui lui appartiennent, mais ils ne sont pas son égal pour autant.
1:15	ilf6			très bon	1	Cette déclaration était plus intense que celles des jours précédents quand Dieu a dit que c’était bon. Néanmoins, elle ne s’applique pas seulement à la création de l’homme et la femme mais à toute la création. Tout était exactement comme Dieu l’avait voulu.
1:15	nrjn			création	1	La période de six jours durant laquelle Dieu a créé tout ce qui existe.
1:16	bul6			Le septième jour	1	Le jour qui a suivi les six autres pendant lesquels Dieu a achevé son œuvre de création.
1:16	jpmw			avait achevé son œuvre	1	Plus particulièrement, Dieu a fini son travail de création, mais il continue de faire d’autres travaux.
1:16	qkc3			Il a béni le septième jour	1	Dieu avait un plan spécial et positif pour le septième jour, et pour chaque septième jour qui devrait suivre.
1:16	iyf8			l’a sanctifié	1	Dieu a mis à part ce jour comme un jour spécial. Il ne devait pas être utilisé de la même manière que les six autres jours de la semaine.
1:16	lu7a			l’univers	1	Ici, tout ce que Dieu a créé sur la terre et dans les cieux, visible ou invisible.
1:16	m1qh			Une histoire biblique tirée de	1	Il se pourrait que ces récits bibliques soient légèrement différents dans certaines traductions de la Bible.
2:0	vna2	title		Le Mal entre dans le monde	1	Ce titre peut aussi être traduit par : « Comment les gens ont commencé à faire le mal » ou « Comment les gens ont-ils commencé à faire le mal ? ».
2:1	d00t			jardin	1	Une collection spéciale d’arbres et de plantes que Dieu a préparée pour qu’Adam et Ève en profitent et qu’ils en mangent. Le terme doit être celui qui a été utilisé dans [01:11](01/11). Voir comment il a été traduit.
2:1	lhnw			honte	1	Le sentiment qui vient du fait de savoir que nous avons péché ou que nous avons failli d’une certaine façon.
2:1	kne9			parlaient avec Dieu	1	Le terme utilisé pour « parlaient » devrait être le même que celui utilisé lorsque quelqu’un parle à un être humain. Il se pourrait que Dieu ait pris une forme physique pour parler à l’homme et la femme, vu que le texte indique qu’ils lui ont parlé face à face.
2:2	usmw			un serpent	1	Une créature terrestre longue, sans pied qui se déplace en rampant. Bien que plus tard dans l’histoire, il a été révélé que le serpent était Satan, on ne doit pas faire mention de cela dans ce contexte.
2:2	m7k5			rusé	1	intelligent et sournois avec l’intention de décevoir.
2:2	akbn		rc://fr/ta/man/translate/figs-quotations	Il a demandé à la femme : « Est-ce que Dieu vous a vraiment dit de ne pas manger du fruit d’aucun des arbres dans le jardin ? »	1	C’est une citation directe. Mais on peut la récrire en une citation indirecte : « Il a demandé à la femme si Dieu lui avait vraiment dit de ne pas manger les fruits d’aucun des arbres du jardin ».
2:2	ti3i		rc://fr/ta/man/translate/figs-rquestion	Est-ce que Dieu vous a vraiment dit de ne pas manger du fruit d’aucun des arbres dans le jardin ?	1	Le serpent a demandé à la femme si Dieu a vraiment dit de ne pas manger de tous les arbres du jardin. Mais il faisait semblant de ne pas savoir ce que Dieu avait dit parce qu’il voulait créer le doute dans l’esprit de la femme. Il voulait qu’elle remette en question la bonté de Dieu.
2:2	xhen		rc://fr/ta/man/translate/figs-pronouns	vous	1	Si votre langue a des mots différents pour « vous » en fonction du nombre de personnes dont on parle, utilisez la forme plurielle. Dieu avait donné cet ordre à l’homme et à la femme.
2:2	um2b			du fruit d’aucun des arbres	1	Cela fait référence à tous les différents types de fruits de chacun des arbres différents présents dans le jardin .
2:3	pu5p		rc://fr/ta/man/translate/figs-quotations	La femme a répondu : « Dieu nous a dit que nous pouvons manger le fruit de tous les arbres, excepté de celui de la connaissance du bien et du mal. Dieu nous a dit : “Si vous mangez ce fruit ou bien le touchez, vous allez mourir.” »	1	C’est une citation directe. On peut aussi l’exprimer comme une citation indirecte : « La femme a répondu que Dieu leur avait dit qu’ils pouvaient manger le fruit de n’importe quel arbre sauf de l’arbre de la connaissance du bien et du mal, et que s’ils mangeaient ce fruit ou même le touchaient, alors ils allaient mourir ».
2:3	l7lz		rc://fr/ta/man/translate/figs-pronouns	Si vous mangez ce fruit ou bien le touchez, vous allez mourir	1	Si votre langue a des mots différents pour « vous » en fonction du nombre de personnes dont on parle, utilisez la forme plurielle. Dieu avait donné cet ordre à l’homme et à la femme.
2:3	r336			le fruit	1	Nous ne savons pas quel genre de fruit c’était. Nous savons seulement qu’il s’est formé sur cet arbre. Si possible, il est préférable d’utiliser un terme général pour « fruit » ici, plutôt que le nom d’un type de fruit précis.
2:3	u9q3			l’arbre de la connaissance du bien et du mal	1	La femme avait bien compris qu’ils n’étaient pas autorisés à manger de cet arbre qui leur permettrait de comprendre tant le mal que le bien.
2:3	htqn			vous allez mourir	1	Utilisez le terme ordinaire pour la mort, la fin de la vie physique d’une personne. N’évitez pas le terme simplement parce que la pensée de la mort vous semble trop cruelle.
2:4	jd70		rc://fr/ta/man/translate/figs-quotations	Le serpent a répondu à la femme : « Ce n’est pas vrai ! Vous n’allez pas mourir. Dieu simplement sait que dès que vous en mangerez, vous serez comme lui et vous comprendrez le bien et le mal comme lui. »	1	Ce texte est une citation directe. On peut aussi l’exprimer comme une citation indirecte : « Le serpent a répondu à la femme que ce n’était pas vrai, qu’ils ne mourraient pas, mais que Dieu savait que dès qu’ils en mangeraient ils seraient comme Dieu et comprendraient le bien et le mal comme lui. »
2:4	zw63		rc://fr/ta/man/translate/figs-pronouns	Vous n’allez pas mourir. Dieu simplement sait que dès que vous en mangerez, vous serez comme lui	1	Si votre langue a des mots différents pour « vous » en fonction du nombre de personnes dont on parle, utilisez la forme plurielle. Satan parlait de ce qui allait arriver à l’homme et à la femme.
2:4	wfn3			comme Dieu	1	L’homme et la femme avaient déjà été créés à l’image de Dieu. Le serpent suggère que la femme serait davantage comme Dieu si elle comprenait le mal. Mais Dieu n’a jamais voulu qu’elle ait cette connaissance.
2:4	h7dw			vous comprendrez le bien et le mal	1	Savoir sur la base d’une expérience personnelle les choses qui sont bonnes et celles qui sont mauvaises, ou être en mesure de savoir si quelque chose est bon ou mauvais.
2:4	ne9b		rc://fr/ta/man/translate/figs-merism	le bien et le mal	1	C’est un mérisme. Le « bien » et le « mal » sont deux extrêmes qui représentent tout ce qui est entre eux. Satan dit qu’ils comprendraient tout ce qui est juste ou faux.
2:5	ak27			sage	1	La femme voulait avoir la perspicacité et la compréhension que le serpent semblait avoir, et que Dieu a.
2:5	yg92			qui était avec elle	1	Cette information est importante car elle montre que l’homme était présent lorsque la femme a pris la décision de manger le fruit.
2:6	y2qw		rc://fr/ta/man/translate/figs-merism	leurs yeux se sont ouverts	1	Cela pourrait être traduit par : « ils ont vu les choses différemment ». Cette expression signifie qu’ils ont compris quelque chose pour la première fois. Dans votre langue, il se pourrait qu’il y ait une expression similaire que vous pourriez utiliser pour traduire cela.
2:6	wpmc			ils ont compris qu’ils étaient nus	1	Après leur désobéissance à Dieu, l’homme et la femme ont eu honte parce qu’ils étaient nus. C’est la raison pour laquelle ils ont utilisé des feuilles pour essayer de couvrir leurs corps nus.
2:6	ymcr		rc://fr/ta/man/translate/figs-explicit	Ils ont essayé de couvrir leurs corps	1	L’homme et la femme ont essayé de couvrir leurs corps afin de se cacher de Dieu parce qu’ils avaient honte d’être nus. Vous voudrez peut-être employer un langage plus direct. Traduction alternative : « Ils avaient honte d’être nus et essayaient de se couvrir pour se cacher de Dieu ».
2:7	wait			Dieu marchant	1	Il semble que Dieu venait régulièrement dans le jardin pour marcher et parler avec l’homme et la femme. Nous ne savons pas à quoi cela ressemblait. Si c’est possible, il serait préférable d’utiliser le terme qui serait utilisé pour parler d’une personne qui marche.
2:7	v3z0		rc://fr/ta/man/translate/figs-quotations	Alors, Dieu a appelé l’homme : « Où es-tu ? »	1	C’est une citation directe. On peut la transformer en une citation indirecte : « Alors Dieu a appelé l’homme et lui a demandé où il était ».
2:7	amt4		rc://fr/ta/man/translate/figs-rquestion	Où es-tu ?	1	C’est une question rhétorique et aussi une citation directe. Dieu connaissait déjà la réponse à cette question. Le but de la question était de forcer l’homme et la femme à expliquer pourquoi ils se cachaient.
2:7	e1dz		rc://fr/ta/man/translate/figs-pronouns	tu	1	Si votre langue a des mots différents pour « vous » en fonction du nombre de personnes dont on parle, utilisez la forme singulière. Ici, Dieu parlait uniquement à l’homme.
2:7	pmnt		rc://fr/ta/man/translate/figs-quotations	Adam a répondu : « Je t’ai entendu marcher dans le jardin, et j’ai eu peur, parce que je suis nu. Alors je me suis caché. »	1	C’est une citation directe. On peut aussi l’écrire comme une citation indirecte : « Adam a répondu qu’il avait entendu Dieu marcher dans le jardin et qu’il avait eu peur parce qu’il était nu, et que c’est pourquoi il s’est caché ».
2:8	tcj6		rc://fr/ta/man/translate/figs-quotations	Alors Dieu a demandé : « Qui t’a dit que tu étais nu ? As-tu mangé du fruit que je t’avais dit de ne pas manger ? »	1	C’est une citation directe qu’on peut tourner en une citation indirecte : « Alors Dieu a voulu savoir qui avait dit à Adam qu’il était nu et s’il avait mangé le fruit qu’il lui avait dit de ne pas manger ».
2:8	shq0		rc://fr/ta/man/translate/figs-rquestion	Qui t’a dit que tu étais nu ?	1	Ou : « Comment sais-tu que tu es nu ? » Dieu connaissait déjà la réponse à toutes ses questions. En posant cette question et la question suivante, il donnait à Adam l’opportunité d’admettre son péché de désobéissance. Le fait d’être nu n’était pas un péché. Dieu les avait créés de cette façon. Leur prise de conscience de leur nudité était le problème. Leur honte a démontré qu’ils avaient péché.
2:8	rojh		rc://fr/ta/man/translate/figs-rquestion	As-tu mangé du fruit que je t’avais dit de ne pas manger ?	1	C’est une question rhétorique. Dieu savait déjà qu’Adam avait mangé le fruit qu’il lui avait dit de ne pas manger. On peut traduire cette question par une déclaration : « Vous avez mangé le fruit que je vous ai dit de ne pas manger ! »
2:8	kii2			elle m’a donné le fruit	1	L’homme a dit que c’était la faute de la femme au lieu de confesser sa désobéissance et d’accepter la responsabilité d’avoir désobéi à Dieu.
2:8	rhqb		rc://fr/ta/man/translate/figs-quotations	Alors Dieu a demandé à la femme « Qu’as-tu fait ? »	1	C’est une citation directe qui peut aussi être traduite comme une citation indirecte : « Alors Dieu a demandé à la femme ce qu’elle avait fait ».
2:8	zgjm		rc://fr/ta/man/translate/figs-rquestion	Qu’as-tu fait ?	1	Ou : « Pourquoi as-tu fait cela ? » Dieu connaissait déjà la réponse à cette question. En posant cette question, il donnait à la femme l’opportunité d’admettre sa culpabilité. Il suggérait qu’elle n’aurait pas dû faire ce qu’elle a fait.
2:8	uwzx			Le serpent m’a dupé	1	Le serpent l’a séduite ou induite en erreur. Il lui a menti. N’utilisez pas un terme qui indique qu’il lui a jeté un sort ou l’a ensorcelé. La femme a dit que c’était la faute du serpent au lieu de confesser sa désobéissance et d’accepter la responsabilité d’avoir désobéi à Dieu.
2:9	pgwp			Tu es maudit !	1	Cela pourrait aussi être traduit par : « Je te maudis ! », ou « Malheur à toi ! ». N’utilisez pas un mot qui implique la magie.
2:9	xy3o			vous allez vous haïr	1	La femme haïra le serpent et le serpent haïra la femme. Les descendants des femmes haïront aussi les descendants du serpent, et les descendants du serpent les haïront.
2:9	jawt			Le descendant de la femme	1	Cela fait référence à l’un de ses descendants en particulier.
2:9	rqro			va t’écraser la tête	1	Le descendant de la femme détruira le descendant du serpent.
2:9	p4l4			tu vas blesser son talon	1	Le descendant du serpent blessera le descendant de la femme.
2:10	o3al			il te sera très pénible d’avoir des enfants	1	Certaines langues peuvent exprimer cela par un nom. Vous pourriez dire par exemple : « Je rendrai tes accouchements douloureux ».
2:11	m0ix			la terre est maudite	1	Comme punition pour la désobéissance d’Adam, la terre ne sera plus productive. Adam aura à travailler très dur pour avoir assez à manger.
2:11	ysv5			tu mourras	1	Le châtiment ultime pour leur désobéissance était la mort. La mort spirituelle est le fait d’être séparé de Dieu. La mort physique est le fait d’être séparé de notre corps.
2:11	ycse			retournera à la terre	1	Dieu a créé Adam avec de la poussière ou de la terre et lui a donné la vie. En conséquence du péché, sa vie lui sera enlevée et son corps se décomposera et deviendra de nouveau de la poussière.
2:11	bp38			Ève, ce qui signifie « donneuse de vie »	1	Dieu a donné la vie à Adam et Ève, et elle est transmise à toute personne lors de l’accouchement.
2:11	scsq			mère de tous les hommes	1	Cela signifie qu’elle deviendrait par la suite l’ancêtre femelle de tous les peuples. Certaines langues disent « qu’elle serait la grand-mère de toutes les personnes ».
2:12	ifqf			comme nous en connaissant le bien et le mal	1	Ici, cette phrase indique une nouvelle façon qu’Adam et Ève auraient pour être comme Dieu. Parce qu’ils avaient péché, ils étaient conscients du mal et pouvaient en faire l’expérience. Vous pourriez dire : « parce que maintenant ils connaissaient le bien et le mal ».
2:12	oh3h		rc://fr/ta/man/translate/figs-pronouns	comme nous	1	La Bible enseigne qu’il n’y a qu’un seul Dieu. Mais le mot « Dieu » de l’Ancien Testament est une forme plurielle et Dieu utilise des pronoms au pluriel lorsqu’il se parle à lui-même. Certains y voient une façon de parler particulière qui exprime la majesté de Dieu, d’autres pensent que Dieu le Père s’adresse au Fils et à l’Esprit, qui sont tous Dieu.
2:12	ixaf		rc://fr/ta/man/translate/figs-merism	le bien et le mal	1	C’est un mérisme. Le « bien » et le « mal » sont deux extrêmes qui représentent tout ce qui est entre eux. Dieu dit ici, qu’ils allaient comprendre tout ce qui est juste ou faux.
2:12	yo7w		rc://fr/ta/man/translate/figs-activepassive	il ne faut pas leur permettre	1	On peut exprimer cette expression dans la forme active : « nous ne devons leur permettre ».
2:12	fjyc			fruit	1	Le type spécifique de fruit n’est pas révélé, il est donc préférable de traduire cela en utilisant un mot général pour les fruits.
2:12	e0y8			l’arbre de vie	1	C’était un arbre avec des fruits. Voir [01:11](01/11). Si une personne mangeait de ce fruit, il vivrait éternellement et ne mourrait jamais.
2:12	a5p1			Une histoire biblique tirée de	1	Ces références changeront légèrement dans certaines traductions de la Bible.
3:0	w76z	title		Le Déluge	1	Ce titre peut aussi être traduit par : « Comment Dieu a fait la grande inondation » ou « Comment Dieu a-t-il fait la grande inondation ? ».
3:1	l5w9			Bien du temps a passé	1	Cette histoire se passe de nombreuses générations (des centaines d’années) après la création.
3:1	po01			très méchants et violents	1	Il serait peut-être plus naturel de dire : « ils étaient devenus méchants et avaient commis des actes violents ».
3:1	xjrd			C’était si mauvais	1	Ce serait peut-être plus clair de dire : « Les gens se comportaient de manière tellement destructrice et mauvaise ».
3:1	ncjx			Dieu a décidé de détruire	1	Cela ne signifie pas que la terre allait être complètement détruite. Dieu a préparé la destruction de toutes les personnes qui s’étaient rebellées contre lui et qui avaient causé tant de mal et de violence. Cette inondation tuerait également tous les animaux terrestres et les oiseaux.
3:1	gaaa			une inondation énorme	1	L’eau très profonde allait couvrir la terre, même dans des endroits où le sol était normalement sec, jusqu’à recouvrir les sommets des montagnes les plus hautes.
3:2	pd6m			Noé était agréable à Dieu	1	Noé a trouvé grâce aux yeux de Dieu parce qu’il craignait et obéissait à Dieu. Ainsi, même si Noé n’était pas sans péché, Dieu a eu compassion envers lui et a fait un plan pour sauver sa famille de la crue dévastatrice. Assurez-vous que cela ne donne pas l’impression que Noé avait de la chance ou qu’il avait réussi à s’échapper par hasard. C’était plutôt le choix de Dieu.
3:2	m63p			allait faire une grande inondation	1	Dieu avait prévu de recouvrir la terre par des eaux très profondes en envoyant beaucoup de pluie. Autrement dit, il avait prévu de causer l’inondation au moyen d’une très forte pluie.
3:2	jhhl			a big flood	1	Voyez comment cela a été traduit dans [03:01](03/01).
3:3	tova			le bateau	1	L’arche était assez grande pour transporter huit personnes, deux animaux de chaque espèce, et leurs provisions pour presque une année.
3:4	ato9			Noé avertissait le peuple	1	Noé a dit à tout le monde que Dieu allait détruire le monde à cause du péché.
